domain,name,source,icp_tier,icp_score,signal_score,signal_trust,signals,tags,batch,team_size,location,one_liner,description,company_url,source_url
corelayer.com,Corelayer,yc_developer_tools,ICP 1,13,8,high,api|docs|app,enterprise-software|ai|artificial-intelligence|b2b|developer-tools,w2026,2,"San Francisco, CA, USA",AI on-call engineer that debugs using data,"We’re building AI agents that do on-call support for data-heavy industries like financial services and fintech, healthcare, and insurance.

On-call engineers in these industries need to inspect data to debug production issues. We monitor both data and infrastructure for issues and use AI agents to debug and suggest fixes in minutes.

Data is especially sensitive in regulated industries, so we offer on-prem deployments and hardware-backed secure environments that let agents safely use production data as context while debugging.

Mitch and Shipra founded Corelayer after building data infrastructure together at Goldman Sachs, where they spent many late nights and weekends debugging systems that processed 100s of billions of rows a day.",https://www.ycombinator.com/companies/corelayer,https://www.ycombinator.com/companies/industry/developer-tools
terminaluse.com,Terminal Use,yc_developer_tools,ICP 1,13,8,high,api|docs|app,infrastructure|developer-tools|aiops|workflow-automation|ai,w2026,4,"San Francisco, CA, USA",Vercel for background agents,"Terminal Use is an orchestration platform for background agents. Purpose-built for agents that use filesystems. Our platform is CLI-first, making it easy for your coding agents to experiment and continuously improve your deployed agents.",https://www.ycombinator.com/companies/terminal-use,https://www.ycombinator.com/companies/industry/developer-tools
unifold.io,Unifold,yc_fintech,ICP 1,13,8,high,api|docs|dashboard,crypto-web3|cryptocurrency|fintech|payments,w2026,3,"New York, NY, USA",Multi-chain deposit and payment infrastructure,"Launch crypto deposits in minutes. 

Unifold is a developer-first API + SDK that makes it easy for any app to accept on-chain deposits – across any chain and token – with less than 10 lines of code. We handle the full deposit flow so teams can ship faster and give users a smooth experience that actually works.

If you’re building a consumer-facing on-chain product and want best-in-class deposits (or want to support more chains fast), we’d love to work with you.
",https://www.ycombinator.com/companies/unifold,https://www.ycombinator.com/companies/industry/fintech
argalabs.com,Arga Labs,yc_saas,ICP 1,13,7,high,api|app|dashboard,developer-tools|aiops|saas,p2026,3,"San Francisco, CA, USA",The validation framework for AI agents,"Arga validates code changes & agents like a real engineer, because you were never meant to be QA for AI.

Connect your context tools (Slack, Linear, Sentry, etc.) and our agents turn every PR into multiple step-by-step user stories, clicking through your product with real context from your systems.

Every PR is deployed into our production-like sandbox and it runs against fully-functional mocks of external services, fully compatible with any API/SDK. These replicas surface edge cases traditional test suites miss, and you never hit rate limits. For AI agents, Arga automatically red-teams them: testing tool calls, behaviours, and failure modes before anything reaches production. ",https://www.ycombinator.com/companies/arga-labs,https://www.ycombinator.com/companies/industry/SaaS
dedaluslabs.ai,Dedalus Labs,yc_developer_tools,ICP 1,13,7,high,api|docs|status,ai|developer-tools|devops|workflow-automation,s2025,10,"San Francisco, CA, USA",Connect any model(s) to any tool(s) and ship hosted agents in minutes.,"1. Multi-model Agents SDK: build production-grade tool-calling agents in 5 lines of code using our open-source, vendor-agnostic SDK. Connect multiple models across providers (eg. Opus 4.6 + Gemini 3 Flash + GPT 5.4) within the same agent to optimize your agentic workflow's cost, latency, efficiency, and performance.

2. Agents-as-a-Service (AaaS): serve your agent or service as a hosted endpoint that anyone - including OpenClaw and Claude Code - can call.",https://www.ycombinator.com/companies/dedalus-labs,https://www.ycombinator.com/companies/industry/developer-tools
didit.me,Didit,yc_saas,ICP 1,13,7,high,api|docs|status,artificial-intelligence|saas|identity,w2026,12,"San Francisco, CA, USA",All-in-one identity platform for fast human verification.,"Didit is an all-in-one identity platform that lets humans prove who they are starting with a face scan. It powers the fastest identity verification in the market, fights fraud by default, and unifies all identity checks with simple pay-per-use pricing.",https://www.ycombinator.com/companies/didit,https://www.ycombinator.com/companies/industry/SaaS
usekestrel.ai,Kestrel AI,yc_security,ICP 1,13,7,high,docs|platform|status,infrastructure|kubernetes|security|aiops|cloud-computing,f2025,2,"San Francisco, CA, USA",AI-Native Cloud Incident Response Platform,"Kestrel is an AI-native cloud incident response platform that brings self-healing to cloud infrastructure. It monitors cloud and kubernetes infrastructure 24/7, finds root causes, and generates exact fixes - so incidents get resolved in seconds instead of hours.",https://www.ycombinator.com/companies/kestrel-ai,https://www.ycombinator.com/companies/industry/security
zeropath.com,ZeroPath,yc_security,ICP 1,13,7,high,docs|auth|status,cybersecurity|security|b2b|developer-tools|artificial-intelligence,s2024,4,"San Francisco, CA, USA",Automatically find and fix your software vulnerabilities,"ZeroPath is a developer tool that autonomously detects, verifies, and submits fixes for vulnerabilities in your code. Engineers can use ZeroPath to find security problems that they might only otherwise catch in pentests or from bug bounty researchers.",https://www.ycombinator.com/companies/zeropath,https://www.ycombinator.com/companies/industry/security
compresr.ai,Compresr,yc_developer_tools,ICP 1,13,6,high,api|auth,artificial-intelligence|developer-tools|b2b|enterprise-software,w2026,4,"San Francisco, CA, USA",LLM-native context compression ,Compresr provides an API that compresses LLM context without losing what matters. It’s a drop-in for agents and RAG that cuts token costs and improves accuracy.,https://www.ycombinator.com/companies/compresr,https://www.ycombinator.com/companies/industry/developer-tools
getadri.ai,Adri AI,yc_security,ICP 1,13,6,high,api|docs,compliance|security|sales|artificial-intelligence,w2023,2,"San Francisco, CA, USA",Vanta for AI,"Adri is built for enterprises that are buying AI. 

Our patented software monitors the AI vendor's infrastructure and detects any intentional or accidental misuse of your proprietary data.

We help you buy AI that you can trust. ",https://www.ycombinator.com/companies/adri-ai,https://www.ycombinator.com/companies/industry/security
runanywhere.ai,RunAnywhere,yc_developer_tools,ICP 1,13,6,high,docs|auth,ai|developer-tools|open-source|iot|hard-tech,w2026,2,,The production-grade infrastructure for running AI on every device,"Edge AI is inevitable, but shipping it is painful: every device class behaves differently, runtimes vary, models are huge, and performance collapses under memory/power constraints. RunAnywhere turns that into an enterprise-ready workflow: one SDK to run models on-device, plus a control plane to manage models, enforce policies, and measure outcomes across thousands of devices.",https://www.ycombinator.com/companies/runanywhere,https://www.ycombinator.com/companies/industry/developer-tools
sentrial.com,Sentrial,yc_developer_tools,ICP 1,13,6,high,api|auth,b2b|aiops|developer-tools|artificial-intelligence,w2026,2,"San Francisco, CA, USA",Production Monitoring for AI Agents,"Sentrial is the monitoring platform for AI products in production. 

When your AI product/agent loops indefinitely, hallucinates, or frustrates users, Sentrial detects it in real-time, diagnoses the root cause, and recommends specific fixes. We provide the monitoring, evaluation, and debugging infrastructure that traditional tools weren't built for, so teams iterate based on production reality, not just offline evals.",https://www.ycombinator.com/companies/sentrial,https://www.ycombinator.com/companies/industry/developer-tools
sequencemkts.com,Sequence Markets,yc_fintech,ICP 1,13,6,high,api|docs,ai|payments|fintech|crypto-web3,w2026,5,"New York, NY, USA",Low latency infrastructure for fragmented crypto markets,"Sequence Markets helps crypto traders save millions in hidden slippage by sourcing liquidity across CEX and DEX venues in one workflow.

Digital asset liquidity is fragmented across hundreds of venues. Teams are forced into manual venue-by-venue workflows, stitching order books in spreadsheets, with zero visibility into execution quality. The result? Inconsistent fills and millions in hidden slippage.

We built ultra-low-latency execution infrastructure (colocated servers, hardware accelerated networking, compiled code speed) with sub 12 microsecond internal latency (faster than NYSE). Our stack enables strategies that weren't possible before.

Save millions by eliminating hidden slippage. Make billions by trading faster and smarter",https://www.ycombinator.com/companies/sequence-markets,https://www.ycombinator.com/companies/industry/fintech
shortkit.dev,shortkit,yc_developer_tools,ICP 1,13,6,high,api|docs,infrastructure|developer-tools|video,w2026,2,,Short-form video SDK for consumer apps,"ShortKit lets any consumer app launch a TikTok-grade short-form video feed. We launched two weeks ago and have $4,450 MRR across 5 consumer apps. Our CTO, Michael, previously built and scaled the video infra behind YouTube Shorts, powering billions of hours of daily playback. Our CEO, Neil, prev. scaled a SaaS company from 0 to $6M ARR as employee #1. We handle the full short-form stack— client SDKs, video infrastructure, rec systems, and content marketplaces — so product teams don't have to.",https://www.ycombinator.com/companies/shortkit,https://www.ycombinator.com/companies/industry/developer-tools
usemoss.dev,Moss,yc_saas,ICP 1,13,6,high,api|docs,ai|developer-tools|saas,f2025,3,"San Mateo, CA, USA",Real-time semantic search for Conversational AI,"Moss is building the real-time semantic search runtime for conversational and multimodal AI. Our system enables voice agents, copilots, and chat interfaces to retrieve, reason, and respond in sub-10 ms, delivering the responsiveness that makes AI interactions feel truly natural.

If you’ve ever built a conversational or voice AI product, you’ve felt the lag. That moment when an agent pauses and the illusion of intelligence breaks. The bottleneck is almost always retrieval. Each query hops across networks and databases, adding delay and cost. Moss eliminates that gap by keeping retrieval close to where the agent runs.

Moss runs natively across browsers, mobile devices, and servers with an optimized vector index built in Rust and WebAssembly. It enables teams to build AI products that feel instant, contextual, and adaptive. The experiences that sustain engagement and unlock new kinds of interaction. For our customers, this translates into tangible business value: stronger user retention, higher conversion, and entirely new product categories made possible by real-time understanding. Moss is already powering production pilots across voice AI and developer platforms, achieving sub-10 ms retrieval and 70–90% token savings compared to traditional pipelines.",https://www.ycombinator.com/companies/moss,https://www.ycombinator.com/companies/industry/SaaS
veritus.com,Veritus,yc_fintech,ICP 1,13,6,high,docs|app|status,fintech|lending|ai,s2025,10,"San Francisco, CA, USA",AI agents for the consumer lending industry,"Veritus is a omni-channel platform for deploying AI agents for loan servicing and collections, including inbound and outbound voice agents. Our agents negotiate repayment plans, follow up across channels, and drive recoveries with zero human involvement.

By combining cutting edge voice AI with deep regulatory compliance and vertical specialization we're able to drastically reduce the cost-to-collect while increasing recovery rates. ",https://www.ycombinator.com/companies/veritus,https://www.ycombinator.com/companies/industry/fintech
agenticfabriq.com,Agentic Fabriq,yc_saas,ICP 1,13,5,high,auth|dashboard,aiops|saas|devsecops|api|infrastructure,w2026,2,"Sunnyvale, CA, USA",Okta for Agents.,"Agentic Fabriq is the single control plane for data permissioning throughout your entire organization across your AI and employees. Through Fabriq, any employee can tap into AI/agents with exactly the data and tools they're cleared to use by an admin. Fabriq can be used internally with employees or externally for customers while handling the auth + integrations + permissions securely for you.",https://www.ycombinator.com/companies/agentic-fabriq,https://www.ycombinator.com/companies/industry/SaaS
arzana.ai,Arzana,yc_saas,ICP 1,13,5,high,platform|app,industrial|productivity|saas,p2026,4,"San Francisco, CA, USA",AI automation for the manufacturing office,"Fortune 500 companies and the fastest-growing manufacturing firms use Arzana’s AI platform to automate order entry, quoting, and customer updates. So teams can scale faster, respond sooner, and grow without adding overhead.",https://www.ycombinator.com/companies/arzana,https://www.ycombinator.com/companies/industry/SaaS
arzule.com,Arzule,yc_saas,ICP 1,13,5,high,docs|app,ai|market-research|saas|b2b|machine-learning,w2026,2,"San Francisco, CA, USA",ROI attribution to scale ecosystem driven growth,"Arzule is an AI-native ecosystem revenue platform for B2B SaaS teams, starting with partnerships.

Arzule uses a quantitative approach to estimate ecosystem revenue impact by combining CRM deal outcomes with ecosystem signals such as shared customers, integrations, partner referrals, and co-selling activity. Using probabilistic regression models and influence chains across the ecosystem graph, Arzule estimates how much each partner or integration increases the likelihood of pipeline creation and deal conversion. This allows teams to prioritize the partnerships most likely to generate measurable revenue.

Beyond attribution, Arzule structures and manages the entire partnership lifecycle from identifying the right partners, to prioritizing based on revenue potential, to activating and scaling those relationships.

Using always-on AI agents and proprietary data, Arzule builds dynamic profiles of companies and predicts which opportunities will drive measurable revenue, when to engage, and how to structure each relationship for maximum impact.

It also optimizes execution through automated outreach, partner coordination, and performance tracking, ensuring every partnership and ecosystem motion is tied to clear ROI.",https://www.ycombinator.com/companies/arzule,https://www.ycombinator.com/companies/industry/SaaS
cotool.ai,Cotool,yc_security,ICP 1,13,5,high,docs|app,cybersecurity|compliance|saas|security,p2025,3,"San Francisco, CA, USA",AI Agents for Security Operations Teams,"Cotool is an agentic security platform that eliminates manual and repetitive work for security teams.

Today’s cybersecurity teams remain bogged down by alert fatigue, context switching, and documentation overhead. Security teams don't need more dashboards with ""AI-powered insights"" — they need their time back.

Cotool empowers teams to build security their way. Our platform provides an AI co-pilot that automatically assembles context across tools, a no-code agent builder that transforms successful investigations into reusable automations, and automated report generation, providing comprehensive documentation in seconds.

Unlike solutions that force teams to adapt to vendor workflows, Cotool puts the power of AI directly in practitioners' hands, letting them shape tools around their unique processes. Early users have already cut time spent on investigation and detection engineering by 70%.",https://www.ycombinator.com/companies/cotool,https://www.ycombinator.com/companies/industry/security
overwatchdata.ai,Overwatch,yc_security,ICP 1,13,5,high,api|app,saas|supply-chain|ai|cybersecurity,s2022,5,"New York, NY, USA","Enterprise software for strategic, risk, and cyber fraud intelligence","Overwatch Data offers real-time, actionable intelligence tailored for your fraud, security, and strategic insights teams. Our platform provides a comprehensive and contextualized view of opportunities and risks, drawing on the surface, social, and deep web, thereby enabling faster, data-driven decision-making.",https://www.ycombinator.com/companies/overwatch,https://www.ycombinator.com/companies/industry/security
pally.com,Pally,yc_productivity,ICP 1,13,5,high,api|app,productivity|search|consumer|b2b|artificial-intelligence,s2025,3,"San Francisco, CA, USA",Intelligent Unified Inbox + Personal CRM,"We spend our lives in messaging apps. Slack. iMessage. WhatsApp. We face a constant stream of information, introductions, and things we need to do.

What if you could bring together every message, from every platform, in a Superhuman-like experience, with AI agents that automatically complete your action items?

That’s exactly what we’re building at Pally; a future where you never need to check another inbox again. ",https://www.ycombinator.com/companies/pally,https://www.ycombinator.com/companies/industry/productivity
sourcebot.dev,Sourcebot,yc_developer_tools,ICP 1,13,5,high,docs|app,open-source|b2b|devsecops|developer-tools|artificial-intelligence,f2025,2,"San Francisco, CA, USA",Helping humans and AI agents understand massive codebases,"Sourcebot is an open source code understanding platform for massive codebases. We’re used by thousands of engineers in some of the largest companies in the world, including NVIDIA, Red Hat, Wikimedia, and Arista Networks.

Understanding code, not writing it, is the primary bottleneck for large engineering teams. For developers, this means onboarding onto complex codebases faster. For AI agents, it means getting the necessary code context to minimize hallucinations and maximize cohesion within the wider codebase.

Sourcebot solves this by giving developers and AI agents the ability to regex search across millions of lines of code instantly, as well as ask questions across thousands of repos using any flagship reasoning model. Being open source and on-prem, we can get deployed in enterprises within minutes before other tools even get approval.

We met a decade ago at McGill University and have been building together full time for over 2 years. We’ve personally felt the pain of understanding large codebases while working at Microsoft, EA, Ubisoft, Google, and Meta.",https://www.ycombinator.com/companies/sourcebot,https://www.ycombinator.com/companies/industry/developer-tools
syntheticsciences.ai,Synthetic Sciences,yc_developer_tools,ICP 1,13,5,high,auth|app,reinforcement-learning|developer-tools|workflow-automation,w2026,2,,Synthetic Sciences is Claude Code for Science,"We’re building the infrastructure for a future AI co-scientist, starting with computational research domains. Our thesis is that capable AI scientists require two things built in tandem: (1) a human-centric product suite that generates high-quality process data, and (2) the research infrastructure to turn that data into increasingly autonomous systems. We’re creating the product and training infrastructure needed for research agents that can execute the full scientific loop.

Synthetic Sciences Web is our platform where scientists delegate complex research tasks to swarms of AI co-scientists across reading → hypotheses → methods → experimentation → results → drafting, even while they sleep. In parallel, we develop RL environments and process-based training data for LLMs, starting with agentic coding environments for ML research workflows.",https://www.ycombinator.com/companies/synthetic-sciences,https://www.ycombinator.com/companies/industry/developer-tools
10xscience.com,10x Science,yc_saas,ICP 1,13,4,high,api|status,biotech|enterprise-software|b2b|saas|ai,w2026,3,"San Francisco, CA, USA",The AI-native platform for next-generation protein characterization.,"Our mission at 10x Science is to enable biopharmaceutical development to keep pace with AI-powered drug discovery. 

Thanks to AI, the front end of drug discovery is flooding the pipeline with new drug candidates. However, current solutions for drug development are unable to resolve drug complexity and cannot keep up with modern demand. Our platform is the unlock for this bottleneck. 

By applying modern AI to the development stage, specifically to protein characterization and quality assessment, we provide an end-to-end solution to dramatically speed up and scale up the preparation of candidates for the clinic. 

Our team is composed of Stanford University researchers from a Nobel Laureate's lab with 18+ years of collective domain expertise, 47+ scientific publications, and a 2x YC Founder. We move at the highest velocity and are positioned to lead the next-generation of modern AI drug development. ",https://www.ycombinator.com/companies/10x-science,https://www.ycombinator.com/companies/industry/SaaS
alterai.dev,Alter,yc_security,ICP 1,13,4,high,docs|status,security|aiops|devsecops|developer-tools|artificial-intelligence,s2025,2,"New York, NY, USA",Secure access control and authorization platform for agent workflows,"Alter is a zero-trust identity and access control platform purpose-built for AI agents. It wraps every tool call in strong authentication, fine-grained authorization, and real-time guardrails, so agents can move fast without breaking things.

Each request is verified at the parameter level, authorized against granular policies, executed with least-privilege access, and fully audited in real time. Unsafe actions, whether it’s a rogue DROP TABLE or a payment above policy limits, are blocked before they touch production. Behind the scenes, Alter manages credentials, issuing ephemeral, scope-narrowed access for every interaction, then rotating or expiring it in seconds. The result: no long-lived secrets, no blind spots, and no surprises in audit.

With Alter, teams can move fast on AI agent initiatives while staying fully compliant with SOC 2, HIPAA, GDPR, and internal security standards. A CISO-ready dashboard delivers real-time visibility, detailed audit logs, and compliance-ready controls, removing silos, eliminating excessive permissions, and providing complete oversight of every agent workflow.",https://www.ycombinator.com/companies/alter,https://www.ycombinator.com/companies/industry/security
maywoodai.com,Maywood,yc_fintech,ICP 1,13,4,high,api|status,finance|fintech|b2b|artificial-intelligence,w2026,5,"New York, NY, USA",AI for M&A,"Maywood automates deal execution for investment banks, from decks to diligence

The Maywood platform automatically generates finished, on-brand CIMs / presentations, models, and diligence responses that prioritizes editability and auditability, with best-in-class security ensuring information stays protected.

Maywood reinvents the deal process with a single, living workspace for every deal.",https://www.ycombinator.com/companies/maywood,https://www.ycombinator.com/companies/industry/fintech
ashr.io,Ashr,yc_saas,ICP 1,13,3,high,api,developer-tools|data-engineering|devops|saas|artificial-intelligence,w2026,2,"San Francisco, CA, USA",Automated Multi-Modal Testing for Agents,"Ashr is a fully contained test and evals platform that improves AI agents by ensuring accuracy and quality across a wide range of user journeys through your product.

Ashr generates user journeys through your agents’ tool calls, results, and questions. We don’t generate one off tests, we generate large amounts of authentic user stories through your product, and pick up on errors, inconsistencies, and failures that would otherwise take hours of manual testing or get caught by a customer. We also work to ensure agent response quality in line with your business goals by offering custom evaluation metrics.

Ashr works with voice, text, automated website generation, image, file generation, and multimodal. We’re also willing to generate custom input types or make modifications for anyone interested. Currently, we integrate as an SDK, and are proactively working to make our documentation and resources as accessible and easy to use as possible.",https://www.ycombinator.com/companies/ashr,https://www.ycombinator.com/companies/industry/SaaS
cinder.co,Cinder,yc_security,ICP 1,13,3,high,docs,trust-&-safety|saas|b2b|compliance|ai,w2022,23,"New York, NY, USA","Cinder | Responsible AI, Trust & Safety, and Data Labeling At Scale","From content moderation to responsible AI, Cinder empowers businesses to orchestrate and automate digital safety at scale. Cinder was founded to help organizations foster safe online spaces for everyone. Our platform empowers companies from start-ups to enterprises with end-to-end capabilities to mitigate harm, investigate abuse, and produce trustworthy and reliable AI outcomes. Building your world-class company means keeping your users and community safe—Cinder unlocks faster growth by making safety easy. We work with customers in every industry from frontier AI labs to e-commerce and social media. 

We're hiring across a variety of teams and looking for candidates based in NYC or open to relocating to NYC, and able to work in-person.",https://www.ycombinator.com/companies/cinder-2,https://www.ycombinator.com/companies/industry/security
cofia.ai,Cofia,yc_saas,ICP 1,13,3,high,auth,saas|productivity|ai-assistant|artificial-intelligence,w2026,2,,AI automations that write themselves,"We learn how you work, and proactively create tailor-made automations you can deploy without you ever writing a prompt or relying on X for automation inspo.",https://www.ycombinator.com/companies/cofia,https://www.ycombinator.com/companies/industry/SaaS
crosslayerlabs.com,Crosslayer Labs,yc_saas,ICP 1,13,3,high,platform,saas|b2b|cybersecurity,w2026,3,"San Francisco, CA, USA","Protect, monitor and defend your Internet presence","Crosslayer Labs detects impersonation attacks on websites and APIs. We provide ""outside-in"" monitoring of customer infrastructure, comprehensively discovering and monitoring all Internet dependencies, including DNS, BGP, TLS certs, Javascript. We correlate signals from different layers of the Internet stack to identify attack patterns. Our alerts are actionable and contain root cause analysis/remediation recommendations. Our founding team is world renowned for previously inventing the MPIC standard adopted by all the major CAs including Google, Apple, Amazon. The MPIC standard is securing over 700 million websites via the issuance of over 3 billion digital certificates, and is now a global internet standard that protects every single HTTPS connection.",https://www.ycombinator.com/companies/crosslayer-labs,https://www.ycombinator.com/companies/industry/SaaS
