domain,name,source,source_url,listing_page,detail_url,company_url,description,one_liner,tags,category,website_confidence,explicit_shopify_signal,explicit_shopify_reasons
4amskin.com,4AM,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/4am,https://4amskin.com/,"Introducing 4AM, the skincare brand that believes in skinimalism. With luxurious all-in-one products, 4AM simplifies your routine so you can do less and do more for your skin. Embrace your lifestyle and let 4AM inspire you.","Introducing 4AM, the skincare brand that believes in skinimalism. With luxurious all-in-one products, 4AM simplifies your routine so you can do less and do more for your skin. Embrace your lifestyle and let 4AM inspire you.",Beauty,Beauty,high,0,
4moms.com,4 moms,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/4-moms,https://www.4moms.com/,"4moms works hard to make life as simple as possible for busy modern families. Our award-winning products make life easier for the whole family, including parents and kids alike. Check out our collection of baby swings, bassinets, portable playards and high chairs.","4moms works hard to make life as simple as possible for busy modern families. Our award-winning products make life easier for the whole family, including parents and kids alike. Check out our collection of baby swings, bassinets, portable playards and high chairs.",Baby,Baby,high,0,
4ocean.com,4ocean,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/4ocean,https://4ocean.com,"4ocean is a United States-based lifestyle apparel retailer that sells unisex Accessories. 4 ocean belives in using the power of business to make a greater good in the world . With every product purchased at 4ocean one pound of trash is removed from the oceans, making each design purposeful.","4ocean is a United States-based lifestyle apparel retailer that sells unisex Accessories. 4 ocean belives in using the power of business to make a greater good in the world . With every product purchased at 4ocean one pound of trash is removed from the oceans, making each design purposeful.",Apparel,Apparel,high,0,
4patriots.com,4Patriots,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/4patriots,https://4patriots.com,"4Patriots have made their name with their survival food, but they're a whole lot more than just freeze dried emergency food. They're still the ultimate source for long term freeze dried survival food, right from the USA, but the folks at 4Patriots have now extended their expert knowledge to solar power and emergency power generators. They also make some of the most essential accessories you need to make these work for you.","4Patriots have made their name with their survival food, but they're a whole lot more than just freeze dried emergency food. They're still the ultimate source for long term freeze dried survival food, right from the USA, but the folks at 4Patriots have now extended their expert knowledge to solar power and emergency power generators. They also make some of the most essential accessories you need to make these work for you.",Home & Garden,Home & Garden,high,0,
696nyc.com,696 Nyc,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/696-nyc,https://696nyc.com/,"696 Nyc offers a thoughtfully curated collection of handcrafted ceramics and vessels by Japanese craftsmen, celebrating the daily ritual of sharing a meal with loved ones. Each object is sustainably produced, honoring tradition and local arts.","696 Nyc offers a thoughtfully curated collection of handcrafted ceramics and vessels by Japanese craftsmen, celebrating the daily ritual of sharing a meal with loved ones. Each object is sustainably produced, honoring tradition and local arts.",Home & Garden,Home & Garden,high,0,
8facesbeauty.com,8 Faces,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/8-faces,https://8facesbeauty.com,"8 Faces is a Canadian beauty brand founded in 2016 by Beth Shuman. The brand offers a certified USDA organic, 100% natural multifunctional skincare balm, 8 Faces Boundless Solid Oil, containing unique ingredients such as the alma berry, full of antioxidants, minerals, and vitamins. 8 Faces has been featured in Goop, Vogue, and Vanity Fair, with luxurious packaging.","8 Faces is a Canadian beauty brand founded in 2016 by Beth Shuman. The brand offers a certified USDA organic, 100% natural multifunctional skincare balm, 8 Faces Boundless Solid Oil, containing unique ingredients such as the alma berry, full of antioxidants, minerals, and vitamins. 8 Faces has been featured in Goop, Vogue, and Vanity Fair, with luxurious packaging.",Beauty,Beauty,high,0,
8greens.com,8Greens Gummies,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/8greens-gummies,https://8greens.com,"8Greens is a health and wellness brand founded in 2016 by Dawn Russell, dedicated to making nutrition more accessible and affordable. Their signature product is a gummy that condenses the recommended serving of fruits and vegetables into one single tablet. 8Greens sources their ingredients from certified organic suppliers and is committed to sustainability and social responsibility, with a portion of their revenue going to Save the Children. They have been featured in several media outlets and are a favorite among many celebrities.","8Greens is a health and wellness brand founded in 2016 by Dawn Russell, dedicated to making nutrition more accessible and affordable. Their signature product is a gummy that condenses the recommended serving of fruits and vegetables into one single tablet. 8Greens sources their ingredients from certified organic suppliers and is committed to sustainability and social responsibility, with a portion of their revenue going to Save the Children. They have been featured in several media outlets and are a favorite among many celebrities.",Wellness,Wellness,high,0,
aardaleppo.com,Aárd,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/?86eeb52d_page=2,https://www.dtcetc.com/brand/aard,https://www.aardaleppo.com,"Aárd is a brand that specializes in natural traditional soap made from olive and laurel oil. Crafted using traditional methods, their soap reflects the heritage and passion of six generations.","Aárd is a brand that specializes in natural traditional soap made from olive and laurel oil. Crafted using traditional methods, their soap reflects the heritage and passion of six generations.",Beauty,Beauty,high,0,
aarke.com,Aarke,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/aarke,https://aarke.com,"Aarke is a Swedish brand founded in 2013 by Jonas Groth and Carl Ljungh, dedicated to elevating everyday essentials with a touch of grandeur. Their award-winning Carbonator has become a global success, and Aarke now offers a curated selection of water carbonators, water purifiers, CO2 exchanges, and accessories. Customers can enjoy a sense of sophistication with their daily hydration and can take advantage of free shipping on orders over $50.","Aarke is a Swedish brand founded in 2013 by Jonas Groth and Carl Ljungh, dedicated to elevating everyday essentials with a touch of grandeur. Their award-winning Carbonator has become a global success, and Aarke now offers a curated selection of water carbonators, water purifiers, CO2 exchanges, and accessories. Customers can enjoy a sense of sophistication with their daily hydration and can take advantage of free shipping on orders over $50.",Home & Garden,Home & Garden,high,0,
aavrani.com,Aavrani,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/aavrani,https://aavrani.com/,"Aavrani is a beauty brand that combines ancient Indian beauty rituals with modern-day routines. Their natural skincare products, made with ingredients like turmeric and coconut milk, provide healthy, glowing skin. Aavrani celebrates cultural duality and encourages women to embrace their unique identities.","Aavrani is a beauty brand that combines ancient Indian beauty rituals with modern-day routines. Their natural skincare products, made with ingredients like turmeric and coconut milk, provide healthy, glowing skin. Aavrani celebrates cultural duality and encourages women to embrace their unique identities.",Beauty,Beauty,high,0,
abbiokitchen.com,Abbio,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/abbio,https://www.abbiokitchen.com/,Abbio is the perfect kitchenware brand for those who value community and creating lasting memories around the dinner table. Their simple yet functional collection offers world-class quality at affordable prices.,Abbio is the perfect kitchenware brand for those who value community and creating lasting memories around the dinner table. Their simple yet functional collection offers world-class quality at affordable prices.,Home & Garden,Home & Garden,high,0,
aboutface.com,About Face,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/about-face,https://aboutface.com/,"About Face is a new makeup brand that celebrates diversity and self-expression. Their high-performing, vegan and cruelty-free formulas are built to last, providing customers with the tools for ultimate self-exploration and expression. Whether you're a makeup novice or a seasoned pro, About Face has something for everyone.","About Face is a new makeup brand that celebrates diversity and self-expression. Their high-performing, vegan and cruelty-free formulas are built to last, providing customers with the tools for ultimate self-exploration and expression. Whether you're a makeup novice or a seasoned pro, About Face has something for everyone.",Beauty,Beauty,high,0,
aceandtate.com,Ace and Tate,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/ace-and-tate,https://aceandtate.com,"Ace and Tate is an ethical, direct-to-consumer eyewear brand founded in 2013. Offering fashion-forward frames designed in-house, it has been featured in publications such as Vogue, The Guardian, and Complex and has expanded to brick and mortar stores across Europe. As a B-Corp Certified company, Ace and Tate is committed to transparency, accountability, and sustainability.","Ace and Tate is an ethical, direct-to-consumer eyewear brand founded in 2013. Offering fashion-forward frames designed in-house, it has been featured in publications such as Vogue, The Guardian, and Complex and has expanded to brick and mortar stores across Europe. As a B-Corp Certified company, Ace and Tate is committed to transparency, accountability, and sustainability.",Wellness,Wellness,high,0,
acidleague.com,Acid League,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/acid-league,https://www.acidleague.com/,"Acid League is a science-driven brand reinventing vinegar and offering living vinegars, vinaigrettes, hot sauces, and condiments. Their focus on flavor and gut health appeals to those who value experimentation in the culinary world.","Acid League is a science-driven brand reinventing vinegar and offering living vinegars, vinaigrettes, hot sauces, and condiments. Their focus on flavor and gut health appeals to those who value experimentation in the culinary world.",CPG,CPG,high,0,
actandacre.com,Act + Acre,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/act-acre,https://actandacre.com/,"Act + Acre is the ultimate hair wellness brand, with a focus on scalp health and sustainability. Their plant-based products are created using a patented Cold Processed® technique, ensuring maximum potency of nutrients. The range includes shampoos, conditioners, and scalp treatments, perfect for those who prioritize natural ingredients and clean beauty.","Act + Acre is the ultimate hair wellness brand, with a focus on scalp health and sustainability. Their plant-based products are created using a patented Cold Processed® technique, ensuring maximum potency of nutrients. The range includes shampoos, conditioners, and scalp treatments, perfect for those who prioritize natural ingredients and clean beauty.",Beauty,Beauty,high,0,
adoredvintage.com,Adored Vintage,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/adored-vintage,https://www.adoredvintage.com/,Adored Vintage is a United States-based e-commerce apparel marketplace that sells women's Clothing. Adored Vintage has a passion for both modern and vintage clothes in a romantic feminine style. Adored Vintage curates timeless pieces from vintage designers and offers modern pieces to pair them with.,Adored Vintage is a United States-based e-commerce apparel marketplace that sells women's Clothing. Adored Vintage has a passion for both modern and vintage clothes in a romantic feminine style. Adored Vintage curates timeless pieces from vintage designers and offers modern pieces to pair them with.,Apparel,Apparel,high,0,
adoreme.com,Adore Me,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/adore-me,https://www.adoreme.com/,"Adore Me is the first women’s underwear company that lets you try on lingerie in the comfort of your home. Our lingerie is specifically designed to foster confidence and liberate you from the pressures of shopping for the perfect piece. With Adore Me, you have the choice to make wardrobe decisions away from the pressure of a dressing room, helping you relax and enjoy the experience.","Adore Me is the first women’s underwear company that lets you try on lingerie in the comfort of your home. Our lingerie is specifically designed to foster confidence and liberate you from the pressures of shopping for the perfect piece. With Adore Me, you have the choice to make wardrobe decisions away from the pressure of a dressing room, helping you relax and enjoy the experience.",Apparel,Apparel,high,0,
aerie.com,Aerie,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/aerie,https://www.aerie.com,"Aerie, founded by [Founders' Names], offers a wide range of women's clothing, from high-waisted leggings to trendy bra tops. With a focus on comfort and inclusivity, Aerie has something for everyone.","Aerie, founded by [Founders' Names], offers a wide range of women's clothing, from high-waisted leggings to trendy bra tops. With a focus on comfort and inclusivity, Aerie has something for everyone.",Apparel,Apparel,high,0,
aerin.com,Aerin Perfume,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/aerin-perfume,https://aerin.com,"Aerin is a luxury lifestyle brand founded in 2012 by beauty legend Estée Lauder's granddaughter, Aerin Lauder. It offers a wide selection of beauty products, fragrances, fashion items, and more with aesthetically pleasing packaging, available in retail stores worldwide.","Aerin is a luxury lifestyle brand founded in 2012 by beauty legend Estée Lauder's granddaughter, Aerin Lauder. It offers a wide selection of beauty products, fragrances, fashion items, and more with aesthetically pleasing packaging, available in retail stores worldwide.",Home & Garden,Home & Garden,high,0,
aesop.com,Aesop Skincare,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/aesop-skincare,https://aesop.com,"Aesop is a skincare brand founded in 1987 in Melbourne, Australia, renowned for its meticulously crafted formulas, natural-feeling products, aromatic scents, and numerous brick and mortar stores. A Certified B Corporation, Aesop collaborates with local charities and offers free samples and 90 days to return products.","Aesop is a skincare brand founded in 1987 in Melbourne, Australia, renowned for its meticulously crafted formulas, natural-feeling products, aromatic scents, and numerous brick and mortar stores. A Certified B Corporation, Aesop collaborates with local charities and offers free samples and 90 days to return products.",Beauty,Beauty,high,0,
aeyla.co.uk,Aeyla,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/aeyla,https://www.aeyla.co.uk/,"Aeyla is a UK-based wellness brand that prioritizes natural solutions for sleep and stress. Their core belief, The Ripple of Good, guides their business as they give back to mental health charity partner, Young Minds, and protect 5 trees in the Amazon rainforest with every purchase. Their award-winning weighted blanket is a highlight of their product range.","Aeyla is a UK-based wellness brand that prioritizes natural solutions for sleep and stress. Their core belief, The Ripple of Good, guides their business as they give back to mental health charity partner, Young Minds, and protect 5 trees in the Amazon rainforest with every purchase. Their award-winning weighted blanket is a highlight of their product range.",Home & Garden,Home & Garden,high,0,
afends.com,Afends,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/afends,https://afends.com/,"Afends is a Australia-based sustainable apparel retailer that sells men's and women's Clothing. Afends believes that with small changes you can create a big impact. They offer durable, eco-friendly, timeless pieces made from Hemp that will last a lifetime.","Afends is a Australia-based sustainable apparel retailer that sells men's and women's Clothing. Afends believes that with small changes you can create a big impact. They offer durable, eco-friendly, timeless pieces made from Hemp that will last a lifetime.",Apparel,Apparel,high,0,
agentprovocateur.com,Agent Provocateur,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/agent-provocateur,https://www.agentprovocateur.com/int_en/,"Agent Provocateur celebrates fearless femininity with its opulent lingerie, designed in-house with exclusive fabrics and intricate embellishments. With a punk heritage and a commitment to breaking boundaries, this iconic British brand empowers women and captivates with its daring and irreverent designs.","Agent Provocateur celebrates fearless femininity with its opulent lingerie, designed in-house with exclusive fabrics and intricate embellishments. With a punk heritage and a commitment to breaking boundaries, this iconic British brand empowers women and captivates with its daring and irreverent designs.",Apparel,Apparel,high,0,
aglassof.com,A Glass of,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/a-glass-of,https://aglassof.com/,"A Glass of is the perfect wine brand for those who want to try new and exciting wines without breaking the bank. With a focus on sustainability and supporting independent winemakers, their 200mL pouches are perfect for environmentally conscious wine lovers.","A Glass of is the perfect wine brand for those who want to try new and exciting wines without breaking the bank. With a focus on sustainability and supporting independent winemakers, their 200mL pouches are perfect for environmentally conscious wine lovers.",CPG,CPG,high,0,
agood.com,A Good Company,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/a-good-company,https://agood.com,A Good Company is a Swedish eco-friendly lifestyle brand founded by Anders Ankarlid in 2018 with a mission to reduce their environmental impact and help people make more conscious decisions about what they buy. They provide quality essentials made from recycled materials and partner with WeForest to plant new trees in Zambia.,A Good Company is a Swedish eco-friendly lifestyle brand founded by Anders Ankarlid in 2018 with a mission to reduce their environmental impact and help people make more conscious decisions about what they buy. They provide quality essentials made from recycled materials and partner with WeForest to plant new trees in Zambia.,Electronics & Games,Electronics & Games,high,0,
ahlvar.com,Ahlvar Gallery,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/ahlvar-gallery,https://ahlvar.com/,"Ahlvar Gallery redefines timeless dressing for the urban woman. With a focus on empowering women, their high-quality silk blouses offer style and versatility for any occasion.","Ahlvar Gallery redefines timeless dressing for the urban woman. With a focus on empowering women, their high-quality silk blouses offer style and versatility for any occasion.",Apparel,Apparel,high,0,
aimeleondore.com,Aimé Leon Dore,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/aime-leon-dore,https://aimeleondore.com,"Aimé Leon Dore is a United States-based lifestyle apparel retailer that sells men's Clothing. Aimé Leon Dore focuses on simple yet powerful design to create a unique, timeless aesthetic . Authenticity and longevity are core values for Aimé Leon Dore.","Aimé Leon Dore is a United States-based lifestyle apparel retailer that sells men's Clothing. Aimé Leon Dore focuses on simple yet powerful design to create a unique, timeless aesthetic . Authenticity and longevity are core values for Aimé Leon Dore.",Apparel,Apparel,high,0,
airinum.com,Airinum,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/airinum,https://airinum.com,"Airinum is a Swedish-based brand founded in 2004 that creates reusable masks designed to filter out pollution, pollen, and bacteria, raising awareness about poor air quality and public health. Their masks feature air filtration, lightweight material, and adjustable fit, and come in a variety of designs.","Airinum is a Swedish-based brand founded in 2004 that creates reusable masks designed to filter out pollution, pollen, and bacteria, raising awareness about poor air quality and public health. Their masks feature air filtration, lightweight material, and adjustable fit, and come in a variety of designs.",Wellness,Wellness,high,0,
airsign.co,Airsign,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/airsign,https://airsign.co/,"Airsign's sleek and sustainable vacuum cleaners are a must-have for any eco-conscious home. With a focus on resource efficiency and top-notch performance, Airsign is the leader in home appliance innovation.","Airsign's sleek and sustainable vacuum cleaners are a must-have for any eco-conscious home. With a focus on resource efficiency and top-notch performance, Airsign is the leader in home appliance innovation.",Home & Garden,Home & Garden,high,0,
aislingorganics.com,Aisling Organics,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/aisling-organics,https://aislingorganics.com/,"Aisling Organics is the perfect choice for beauty lovers who prioritize health and sustainability. Their diverse range of organic makeup products are effective, safe, and made with natural ingredients. Plus, a portion of their proceeds goes towards a non-profit organization.","Aisling Organics is the perfect choice for beauty lovers who prioritize health and sustainability. Their diverse range of organic makeup products are effective, safe, and made with natural ingredients. Plus, a portion of their proceeds goes towards a non-profit organization.",Beauty,Beauty,high,0,
ajeworld.com,Aje,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/aje,https://ajeworld.com/,"Aje is a contemporary Australian fashion brand that offers a curated mix of effortless essentials and statement occasion pieces, each crafted with luxurious sensibilities. With a dedication to raw beauty and tough femininity, Aje's collections balance toughness with femininity and untamed volume with structure. Discover versatile fashion options that cater to the modern woman's style needs.","Aje is a contemporary Australian fashion brand that offers a curated mix of effortless essentials and statement occasion pieces, each crafted with luxurious sensibilities. With a dedication to raw beauty and tough femininity, Aje's collections balance toughness with femininity and untamed volume with structure. Discover versatile fashion options that cater to the modern woman's style needs.",Apparel,Apparel,high,0,
alaninu.com,Alani Nu Pre-Workout,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/alani-nu-pre-workout,https://alaninu.com,"Alani Nu is a wellness company founded by Katy Hearn and Haydn Schneider in 2018, providing no-filler supplements to help you reach your fitness goals. Their best-selling product is the Alani Nu Pre-Workout, available in a variety of flavors and free from gluten and animal products.","Alani Nu is a wellness company founded by Katy Hearn and Haydn Schneider in 2018, providing no-filler supplements to help you reach your fitness goals. Their best-selling product is the Alani Nu Pre-Workout, available in a variety of flavors and free from gluten and animal products.",CPG,CPG,high,0,
alcltd.com,A.L.C,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/a-l-c,https://alcltd.com/,"Discover A.L.C, the brand that believes in the inherent style and power of women. With their versatile and beautifully crafted staples, A.L.C aims to make you feel confident, strong, sexy, and elegant. You'll love the exclusive fabrications and thoughtful design details that reflect your multi-faceted journey. Plus, A.L.C's commitment to supporting women goes beyond fashion, as they partner with female-led organizations that empower and enable women to achieve their fullest potential. Experience consistent but never predictable style that resonates with your values.","Discover A.L.C, the brand that believes in the inherent style and power of women. With their versatile and beautifully crafted staples, A.L.C aims to make you feel confident, strong, sexy, and elegant. You'll love the exclusive fabrications and thoughtful design details that reflect your multi-faceted journey. Plus, A.L.C's commitment to supporting women goes beyond fashion, as they partner with female-led organizations that empower and enable women to achieve their fullest potential. Experience consistent but never predictable style that resonates with your values.",Apparel,Apparel,high,0,
alday.co,Alday,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/alday,https://alday.co/,"Alday's pants are the epitome of comfort and style, made with a perfect fit for all sizes and the most comfortable material you've ever felt. The brand's attention to detail is evident in the finest hardware used in their pants, including $200-denim quality zippers, buttons, and rivets.","Alday's pants are the epitome of comfort and style, made with a perfect fit for all sizes and the most comfortable material you've ever felt. The brand's attention to detail is evident in the finest hardware used in their pants, including $200-denim quality zippers, buttons, and rivets.",Apparel,Apparel,high,0,
alderapparel.com,Alder,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/alder,https://www.alderapparel.com/,"Alder, the Toronto-based outdoor apparel brand, offers inclusive sizing, community-informed design, and sustainable production. Their playful branding stands out from traditional athletic brands, prioritizing inclusivity, diversity, and sustainability.","Alder, the Toronto-based outdoor apparel brand, offers inclusive sizing, community-informed design, and sustainable production. Their playful branding stands out from traditional athletic brands, prioritizing inclusivity, diversity, and sustainability.",Apparel,Apparel,high,0,
