domain,name,source,source_url,listing_page,detail_url,company_url,description,one_liner,tags,category,website_confidence,explicit_shopify_signal,explicit_shopify_reasons
thepearlsource.com,The Pearl Source,1800dtc,https://1800dtc.com/d2c-dtc-brands,https://1800dtc.com/d2c-dtc-brands,https://1800dtc.com/brand/the-pearl-source,https://www.thepearlsource.com/,"The Pearl Source is a Los Angeles-based company specializing in high-quality pearl jewelry, including necklaces, earrings, bracelets, pendants, and rings. The Pearl Source offers a diverse selection of pearls, such as Freshwater, Akoya, Tahitian, and South Sea varieties. The Pearl Source emphasizes on quality by hand-picking pearls directly from the source and crafting each jewelry piece in-house.","The Pearl Source is a Los Angeles-based company specializing in high-quality pearl jewelry, including necklaces, earrings, bracelets, pendants, and rings. The Pearl Source offers a diverse selection of pearls, such as Freshwater, Akoya, Tahitian, and South Sea varieties. The Pearl Source emphasizes on quality by hand-picking pearls directly from the source and crafting each jewelry piece in-house.",Jewelry,Jewelry,high,0,
100percentpure.com,100% PURE,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/100-pure,https://100percentpure.com,"Because your skin is the largest organ in the body, it absorbs everything you put on it. 100% PURE is the most nourishing and healthy food for your skin made from pure organic nutrients. Free of anything synthetic or anything artificial.","Because your skin is the largest organ in the body, it absorbs everything you put on it. 100% PURE is the most nourishing and healthy food for your skin made from pure organic nutrients. Free of anything synthetic or anything artificial.",Beauty,Beauty,high,0,
11honore.com,11 Honore,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/11-honore,https://11honore.com,"11 Honore is an inclusive e-commerce brand founded in 2017 by Patrick Herning and Kathryn Retzer, offering designer basics, formal wear, and workwear for plus-sized women in sizes 12-24. Featured in The New York Times, Forbes, and at New York Fashion Week, 11 Honore celebrates the beauty of all body types, empowering plus-sized women to feel seen and represented in elegant designer fashion.","11 Honore is an inclusive e-commerce brand founded in 2017 by Patrick Herning and Kathryn Retzer, offering designer basics, formal wear, and workwear for plus-sized women in sizes 12-24. Featured in The New York Times, Forbes, and at New York Fashion Week, 11 Honore celebrates the beauty of all body types, empowering plus-sized women to feel seen and represented in elegant designer fashion.",Apparel,Apparel,high,0,
12parsecsdesigns.com,12 Parsecs Designs,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/12-parsecs-designs,https://www.12parsecsdesigns.com,"Step into the world of tabletop gaming and let your imagination take flight with 12 Parsecs Designs. This family-owned brand offers a wide range of high-quality products, from dice sets to clothing, designed to enhance your gaming experience. With a focus on creativity and imagination, 12 Parsecs Designs has something for every passionate gamer.","Step into the world of tabletop gaming and let your imagination take flight with 12 Parsecs Designs. This family-owned brand offers a wide range of high-quality products, from dice sets to clothing, designed to enhance your gaming experience. With a focus on creativity and imagination, 12 Parsecs Designs has something for every passionate gamer.",Apparel,Apparel,high,0,
1999beauty.com,1999 Beauty,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/1999-beauty,https://1999beauty.com/,"1999 Beauty is a beauty brand that defies traditional rules of aging and makeup. Their multi-purpose products work on all skin types and tones, empowering individuals to create their own definition of beauty. Committed to responsible beauty, they use clean ingredients and sustainable packaging. Perfect for those who prioritize simplicity, versatility, and self-expression.","1999 Beauty is a beauty brand that defies traditional rules of aging and makeup. Their multi-purpose products work on all skin types and tones, empowering individuals to create their own definition of beauty. Committed to responsible beauty, they use clean ingredients and sustainable packaging. Perfect for those who prioritize simplicity, versatility, and self-expression.",Beauty,Beauty,high,0,
19no5.se,19NO5,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/19no5,https://www.19no5.se,"Discover 19NO5, the Swedish jewellery brand that believes in the power of personal stories. Each handcrafted piece is infused with its own identity, allowing you to express your unique style.","Discover 19NO5, the Swedish jewellery brand that believes in the power of personal stories. Each handcrafted piece is infused with its own identity, allowing you to express your unique style.",Apparel,Apparel,high,0,
23andme.com,23andMe,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/23andme,https://www.23andme.com/,"23andMe, Inc. is a personal genomics company that offers analysis of DNA test results and health-related genetic reports.","23andMe, Inc. is a personal genomics company that offers analysis of DNA test results and health-related genetic reports.",Wellness,Wellness,high,0,
2modern.com,2Modernu,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/2modernu,https://2modern.com,"2Modern, founded in 2003 by Greg Finney, specializes in curating exquisite modern design. The company offers a diverse range of modern furniture, lighting, and home decor. With a collection that includes everything from rattan chandeliers to Scandinavian stools, 2Modern showcases the finest in authentic modern design. The store features a curated selection from an A-list of iconic and emerging brands, including celebrated names like Fritz Hansen, Vitra, and Louis Poulsen, as well as rising stars like Ethnicraft, Cappellini, Dedon, Four Hands, and Blu Dot. Dedicated to providing luxury design, 2Modern delivers its high-quality products nationwide.","2Modern, founded in 2003 by Greg Finney, specializes in curating exquisite modern design. The company offers a diverse range of modern furniture, lighting, and home decor. With a collection that includes everything from rattan chandeliers to Scandinavian stools, 2Modern showcases the finest in authentic modern design. The store features a curated selection from an A-list of iconic and emerging brands, including celebrated names like Fritz Hansen, Vitra, and Louis Poulsen, as well as rising stars like Ethnicraft, Cappellini, Dedon, Four Hands, and Blu Dot. Dedicated to providing luxury design, 2Modern delivers its high-quality products nationwide.",Home & Garden,Home & Garden,high,0,
32degrees.com,32 Degrees,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/32-degrees,https://32degrees.com,"32 Degrees, a basic apparel retailer based in the United States, carries a wide array of men's and women's clothing. Placing high priority on value and comfort, this store presents an extensive selection of everyday items designed to suit diverse styles and budgets. The product offerings at 32 Degrees are as varied as they are numerous, from warming winter outerwear to cool summer polo shirts, ensuring customer comfort throughout the year.","32 Degrees, a basic apparel retailer based in the United States, carries a wide array of men's and women's clothing. Placing high priority on value and comfort, this store presents an extensive selection of everyday items designed to suit diverse styles and budgets. The product offerings at 32 Degrees are as varied as they are numerous, from warming winter outerwear to cool summer polo shirts, ensuring customer comfort throughout the year.",Apparel,Apparel,high,0,
456skin.com,456 Skin,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/456-skin,https://www.456skin.com/,"456 Skin is a pioneering skincare brand that caters to the specific needs of melanin-rich skin. Their science-backed formulations are free of prejudice and offer personalized solutions for phototypes IV, V, and VI.","456 Skin is a pioneering skincare brand that caters to the specific needs of melanin-rich skin. Their science-backed formulations are free of prejudice and offer personalized solutions for phototypes IV, V, and VI.",Beauty,Beauty,high,0,
47brand.com,47 Brand,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/47-brand,https://47brand.com,47 Brand is a United States-based lifestyle apparel retailer that sells men's and women's Clothing. '47 offers licensed fan gear from your favorite teams. For over 70 years '47 has paid undeniable attention to detail and shown passion for quality materials.,47 Brand is a United States-based lifestyle apparel retailer that sells men's and women's Clothing. '47 offers licensed fan gear from your favorite teams. For over 70 years '47 has paid undeniable attention to detail and shown passion for quality materials.,Apparel,Apparel,high,0,
4amskin.com,4AM,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/4am,https://4amskin.com/,"Introducing 4AM, the skincare brand that believes in skinimalism. With luxurious all-in-one products, 4AM simplifies your routine so you can do less and do more for your skin. Embrace your lifestyle and let 4AM inspire you.","Introducing 4AM, the skincare brand that believes in skinimalism. With luxurious all-in-one products, 4AM simplifies your routine so you can do less and do more for your skin. Embrace your lifestyle and let 4AM inspire you.",Beauty,Beauty,high,0,
4moms.com,4 moms,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/4-moms,https://www.4moms.com/,"4moms works hard to make life as simple as possible for busy modern families. Our award-winning products make life easier for the whole family, including parents and kids alike. Check out our collection of baby swings, bassinets, portable playards and high chairs.","4moms works hard to make life as simple as possible for busy modern families. Our award-winning products make life easier for the whole family, including parents and kids alike. Check out our collection of baby swings, bassinets, portable playards and high chairs.",Baby,Baby,high,0,
4ocean.com,4ocean,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/4ocean,https://4ocean.com,"4ocean is a United States-based lifestyle apparel retailer that sells unisex Accessories. 4 ocean belives in using the power of business to make a greater good in the world . With every product purchased at 4ocean one pound of trash is removed from the oceans, making each design purposeful.","4ocean is a United States-based lifestyle apparel retailer that sells unisex Accessories. 4 ocean belives in using the power of business to make a greater good in the world . With every product purchased at 4ocean one pound of trash is removed from the oceans, making each design purposeful.",Apparel,Apparel,high,0,
4patriots.com,4Patriots,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/4patriots,https://4patriots.com,"4Patriots have made their name with their survival food, but they're a whole lot more than just freeze dried emergency food. They're still the ultimate source for long term freeze dried survival food, right from the USA, but the folks at 4Patriots have now extended their expert knowledge to solar power and emergency power generators. They also make some of the most essential accessories you need to make these work for you.","4Patriots have made their name with their survival food, but they're a whole lot more than just freeze dried emergency food. They're still the ultimate source for long term freeze dried survival food, right from the USA, but the folks at 4Patriots have now extended their expert knowledge to solar power and emergency power generators. They also make some of the most essential accessories you need to make these work for you.",Home & Garden,Home & Garden,high,0,
696nyc.com,696 Nyc,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/696-nyc,https://696nyc.com/,"696 Nyc offers a thoughtfully curated collection of handcrafted ceramics and vessels by Japanese craftsmen, celebrating the daily ritual of sharing a meal with loved ones. Each object is sustainably produced, honoring tradition and local arts.","696 Nyc offers a thoughtfully curated collection of handcrafted ceramics and vessels by Japanese craftsmen, celebrating the daily ritual of sharing a meal with loved ones. Each object is sustainably produced, honoring tradition and local arts.",Home & Garden,Home & Garden,high,0,
8facesbeauty.com,8 Faces,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/8-faces,https://8facesbeauty.com,"8 Faces is a Canadian beauty brand founded in 2016 by Beth Shuman. The brand offers a certified USDA organic, 100% natural multifunctional skincare balm, 8 Faces Boundless Solid Oil, containing unique ingredients such as the alma berry, full of antioxidants, minerals, and vitamins. 8 Faces has been featured in Goop, Vogue, and Vanity Fair, with luxurious packaging.","8 Faces is a Canadian beauty brand founded in 2016 by Beth Shuman. The brand offers a certified USDA organic, 100% natural multifunctional skincare balm, 8 Faces Boundless Solid Oil, containing unique ingredients such as the alma berry, full of antioxidants, minerals, and vitamins. 8 Faces has been featured in Goop, Vogue, and Vanity Fair, with luxurious packaging.",Beauty,Beauty,high,0,
8greens.com,8Greens Gummies,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/8greens-gummies,https://8greens.com,"8Greens is a health and wellness brand founded in 2016 by Dawn Russell, dedicated to making nutrition more accessible and affordable. Their signature product is a gummy that condenses the recommended serving of fruits and vegetables into one single tablet. 8Greens sources their ingredients from certified organic suppliers and is committed to sustainability and social responsibility, with a portion of their revenue going to Save the Children. They have been featured in several media outlets and are a favorite among many celebrities.","8Greens is a health and wellness brand founded in 2016 by Dawn Russell, dedicated to making nutrition more accessible and affordable. Their signature product is a gummy that condenses the recommended serving of fruits and vegetables into one single tablet. 8Greens sources their ingredients from certified organic suppliers and is committed to sustainability and social responsibility, with a portion of their revenue going to Save the Children. They have been featured in several media outlets and are a favorite among many celebrities.",Wellness,Wellness,high,0,
aardaleppo.com,Aárd,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/?86eeb52d_page=2,https://www.dtcetc.com/brand/aard,https://www.aardaleppo.com,"Aárd is a brand that specializes in natural traditional soap made from olive and laurel oil. Crafted using traditional methods, their soap reflects the heritage and passion of six generations.","Aárd is a brand that specializes in natural traditional soap made from olive and laurel oil. Crafted using traditional methods, their soap reflects the heritage and passion of six generations.",Beauty,Beauty,high,0,
aarke.com,Aarke,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/aarke,https://aarke.com,"Aarke is a Swedish brand founded in 2013 by Jonas Groth and Carl Ljungh, dedicated to elevating everyday essentials with a touch of grandeur. Their award-winning Carbonator has become a global success, and Aarke now offers a curated selection of water carbonators, water purifiers, CO2 exchanges, and accessories. Customers can enjoy a sense of sophistication with their daily hydration and can take advantage of free shipping on orders over $50.","Aarke is a Swedish brand founded in 2013 by Jonas Groth and Carl Ljungh, dedicated to elevating everyday essentials with a touch of grandeur. Their award-winning Carbonator has become a global success, and Aarke now offers a curated selection of water carbonators, water purifiers, CO2 exchanges, and accessories. Customers can enjoy a sense of sophistication with their daily hydration and can take advantage of free shipping on orders over $50.",Home & Garden,Home & Garden,high,0,
aavrani.com,Aavrani,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/aavrani,https://aavrani.com/,"Aavrani is a beauty brand that combines ancient Indian beauty rituals with modern-day routines. Their natural skincare products, made with ingredients like turmeric and coconut milk, provide healthy, glowing skin. Aavrani celebrates cultural duality and encourages women to embrace their unique identities.","Aavrani is a beauty brand that combines ancient Indian beauty rituals with modern-day routines. Their natural skincare products, made with ingredients like turmeric and coconut milk, provide healthy, glowing skin. Aavrani celebrates cultural duality and encourages women to embrace their unique identities.",Beauty,Beauty,high,0,
abbiokitchen.com,Abbio,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/abbio,https://www.abbiokitchen.com/,Abbio is the perfect kitchenware brand for those who value community and creating lasting memories around the dinner table. Their simple yet functional collection offers world-class quality at affordable prices.,Abbio is the perfect kitchenware brand for those who value community and creating lasting memories around the dinner table. Their simple yet functional collection offers world-class quality at affordable prices.,Home & Garden,Home & Garden,high,0,
aboutface.com,About Face,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/about-face,https://aboutface.com/,"About Face is a new makeup brand that celebrates diversity and self-expression. Their high-performing, vegan and cruelty-free formulas are built to last, providing customers with the tools for ultimate self-exploration and expression. Whether you're a makeup novice or a seasoned pro, About Face has something for everyone.","About Face is a new makeup brand that celebrates diversity and self-expression. Their high-performing, vegan and cruelty-free formulas are built to last, providing customers with the tools for ultimate self-exploration and expression. Whether you're a makeup novice or a seasoned pro, About Face has something for everyone.",Beauty,Beauty,high,0,
aceandtate.com,Ace and Tate,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/ace-and-tate,https://aceandtate.com,"Ace and Tate is an ethical, direct-to-consumer eyewear brand founded in 2013. Offering fashion-forward frames designed in-house, it has been featured in publications such as Vogue, The Guardian, and Complex and has expanded to brick and mortar stores across Europe. As a B-Corp Certified company, Ace and Tate is committed to transparency, accountability, and sustainability.","Ace and Tate is an ethical, direct-to-consumer eyewear brand founded in 2013. Offering fashion-forward frames designed in-house, it has been featured in publications such as Vogue, The Guardian, and Complex and has expanded to brick and mortar stores across Europe. As a B-Corp Certified company, Ace and Tate is committed to transparency, accountability, and sustainability.",Wellness,Wellness,high,0,
acidleague.com,Acid League,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/acid-league,https://www.acidleague.com/,"Acid League is a science-driven brand reinventing vinegar and offering living vinegars, vinaigrettes, hot sauces, and condiments. Their focus on flavor and gut health appeals to those who value experimentation in the culinary world.","Acid League is a science-driven brand reinventing vinegar and offering living vinegars, vinaigrettes, hot sauces, and condiments. Their focus on flavor and gut health appeals to those who value experimentation in the culinary world.",CPG,CPG,high,0,
actandacre.com,Act + Acre,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/act-acre,https://actandacre.com/,"Act + Acre is the ultimate hair wellness brand, with a focus on scalp health and sustainability. Their plant-based products are created using a patented Cold Processed® technique, ensuring maximum potency of nutrients. The range includes shampoos, conditioners, and scalp treatments, perfect for those who prioritize natural ingredients and clean beauty.","Act + Acre is the ultimate hair wellness brand, with a focus on scalp health and sustainability. Their plant-based products are created using a patented Cold Processed® technique, ensuring maximum potency of nutrients. The range includes shampoos, conditioners, and scalp treatments, perfect for those who prioritize natural ingredients and clean beauty.",Beauty,Beauty,high,0,
adoredvintage.com,Adored Vintage,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/adored-vintage,https://www.adoredvintage.com/,Adored Vintage is a United States-based e-commerce apparel marketplace that sells women's Clothing. Adored Vintage has a passion for both modern and vintage clothes in a romantic feminine style. Adored Vintage curates timeless pieces from vintage designers and offers modern pieces to pair them with.,Adored Vintage is a United States-based e-commerce apparel marketplace that sells women's Clothing. Adored Vintage has a passion for both modern and vintage clothes in a romantic feminine style. Adored Vintage curates timeless pieces from vintage designers and offers modern pieces to pair them with.,Apparel,Apparel,high,0,
adoreme.com,Adore Me,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/adore-me,https://www.adoreme.com/,"Adore Me is the first women’s underwear company that lets you try on lingerie in the comfort of your home. Our lingerie is specifically designed to foster confidence and liberate you from the pressures of shopping for the perfect piece. With Adore Me, you have the choice to make wardrobe decisions away from the pressure of a dressing room, helping you relax and enjoy the experience.","Adore Me is the first women’s underwear company that lets you try on lingerie in the comfort of your home. Our lingerie is specifically designed to foster confidence and liberate you from the pressures of shopping for the perfect piece. With Adore Me, you have the choice to make wardrobe decisions away from the pressure of a dressing room, helping you relax and enjoy the experience.",Apparel,Apparel,high,0,
aerie.com,Aerie,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/aerie,https://www.aerie.com,"Aerie, founded by [Founders' Names], offers a wide range of women's clothing, from high-waisted leggings to trendy bra tops. With a focus on comfort and inclusivity, Aerie has something for everyone.","Aerie, founded by [Founders' Names], offers a wide range of women's clothing, from high-waisted leggings to trendy bra tops. With a focus on comfort and inclusivity, Aerie has something for everyone.",Apparel,Apparel,high,0,
aerin.com,Aerin Perfume,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/aerin-perfume,https://aerin.com,"Aerin is a luxury lifestyle brand founded in 2012 by beauty legend Estée Lauder's granddaughter, Aerin Lauder. It offers a wide selection of beauty products, fragrances, fashion items, and more with aesthetically pleasing packaging, available in retail stores worldwide.","Aerin is a luxury lifestyle brand founded in 2012 by beauty legend Estée Lauder's granddaughter, Aerin Lauder. It offers a wide selection of beauty products, fragrances, fashion items, and more with aesthetically pleasing packaging, available in retail stores worldwide.",Home & Garden,Home & Garden,high,0,
aesop.com,Aesop Skincare,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/aesop-skincare,https://aesop.com,"Aesop is a skincare brand founded in 1987 in Melbourne, Australia, renowned for its meticulously crafted formulas, natural-feeling products, aromatic scents, and numerous brick and mortar stores. A Certified B Corporation, Aesop collaborates with local charities and offers free samples and 90 days to return products.","Aesop is a skincare brand founded in 1987 in Melbourne, Australia, renowned for its meticulously crafted formulas, natural-feeling products, aromatic scents, and numerous brick and mortar stores. A Certified B Corporation, Aesop collaborates with local charities and offers free samples and 90 days to return products.",Beauty,Beauty,high,0,
aeyla.co.uk,Aeyla,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/aeyla,https://www.aeyla.co.uk/,"Aeyla is a UK-based wellness brand that prioritizes natural solutions for sleep and stress. Their core belief, The Ripple of Good, guides their business as they give back to mental health charity partner, Young Minds, and protect 5 trees in the Amazon rainforest with every purchase. Their award-winning weighted blanket is a highlight of their product range.","Aeyla is a UK-based wellness brand that prioritizes natural solutions for sleep and stress. Their core belief, The Ripple of Good, guides their business as they give back to mental health charity partner, Young Minds, and protect 5 trees in the Amazon rainforest with every purchase. Their award-winning weighted blanket is a highlight of their product range.",Home & Garden,Home & Garden,high,0,
afends.com,Afends,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/afends,https://afends.com/,"Afends is a Australia-based sustainable apparel retailer that sells men's and women's Clothing. Afends believes that with small changes you can create a big impact. They offer durable, eco-friendly, timeless pieces made from Hemp that will last a lifetime.","Afends is a Australia-based sustainable apparel retailer that sells men's and women's Clothing. Afends believes that with small changes you can create a big impact. They offer durable, eco-friendly, timeless pieces made from Hemp that will last a lifetime.",Apparel,Apparel,high,0,
agentprovocateur.com,Agent Provocateur,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/agent-provocateur,https://www.agentprovocateur.com/int_en/,"Agent Provocateur celebrates fearless femininity with its opulent lingerie, designed in-house with exclusive fabrics and intricate embellishments. With a punk heritage and a commitment to breaking boundaries, this iconic British brand empowers women and captivates with its daring and irreverent designs.","Agent Provocateur celebrates fearless femininity with its opulent lingerie, designed in-house with exclusive fabrics and intricate embellishments. With a punk heritage and a commitment to breaking boundaries, this iconic British brand empowers women and captivates with its daring and irreverent designs.",Apparel,Apparel,high,0,
aglassof.com,A Glass of,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/a-glass-of,https://aglassof.com/,"A Glass of is the perfect wine brand for those who want to try new and exciting wines without breaking the bank. With a focus on sustainability and supporting independent winemakers, their 200mL pouches are perfect for environmentally conscious wine lovers.","A Glass of is the perfect wine brand for those who want to try new and exciting wines without breaking the bank. With a focus on sustainability and supporting independent winemakers, their 200mL pouches are perfect for environmentally conscious wine lovers.",CPG,CPG,high,0,
agood.com,A Good Company,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/a-good-company,https://agood.com,A Good Company is a Swedish eco-friendly lifestyle brand founded by Anders Ankarlid in 2018 with a mission to reduce their environmental impact and help people make more conscious decisions about what they buy. They provide quality essentials made from recycled materials and partner with WeForest to plant new trees in Zambia.,A Good Company is a Swedish eco-friendly lifestyle brand founded by Anders Ankarlid in 2018 with a mission to reduce their environmental impact and help people make more conscious decisions about what they buy. They provide quality essentials made from recycled materials and partner with WeForest to plant new trees in Zambia.,Electronics & Games,Electronics & Games,high,0,
ahlvar.com,Ahlvar Gallery,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/ahlvar-gallery,https://ahlvar.com/,"Ahlvar Gallery redefines timeless dressing for the urban woman. With a focus on empowering women, their high-quality silk blouses offer style and versatility for any occasion.","Ahlvar Gallery redefines timeless dressing for the urban woman. With a focus on empowering women, their high-quality silk blouses offer style and versatility for any occasion.",Apparel,Apparel,high,0,
