domain,name,source,source_url,portfolio_url,company_url,description,one_liner,tags,stage,status,location,country,city,investment_year,founded_year,website_confidence
auctionata.com,auctionata,hv_capital,https://www.hvcapital.com/companies,https://www.hvcapital.com/,http://www.auctionata.com,"auctionata was the leading online platform for art and luxury collectibles and one of the ten biggest auction houses (outside of China) with over 800.000 customers worldwide. The company attracted consignors, business partners and buyers with over 700 livestream auctions and an online shop with more than 25.000 objects from over 14 categories. As the inventor of the livestream auction, the company broadcasted auctions in real-time via desktop, mobile devices and mobile app.","auctionata was the leading online platform for art and luxury collectibles and one of the ten biggest auction houses (outside of China) with over 800.000 customers worldwide. The company attracted consignors, business partners and buyers with over 700 livestream auctions and an online shop with more than 25.000 objects from over 14 categories. As the inventor of the livestream auction, the company broadcasted auctions in real-time via desktop, mobile devices and mobile app.",consumer,exit,exit,"Berlin, Germany",Germany,Berlin,2011,2011,high
audible.de,Audible.de,hv_capital,https://www.hvcapital.com/companies,https://www.hvcapital.com/,https://www.audible.de/,"Audible is the world’s largest seller and producer of audiobooks and other spoken-word entertainment, enriching the lives of millions of listeners every day. With their customer-centric approach to technological innovation and superior programming, Audible has reinvented a media category, and is the driving force behind today’s audio entertainment revolution.","Audible is the world’s largest seller and producer of audiobooks and other spoken-word entertainment, enriching the lives of millions of listeners every day. With their customer-centric approach to technological innovation and superior programming, Audible has reinvented a media category, and is the driving force behind today’s audio entertainment revolution.",consumer,exit,exit,"Newark, USA",USA,Newark,2004,2004,high
autoda.de,Autoda,hv_capital,https://www.hvcapital.com/companies,https://www.hvcapital.com/,http://www.autoda.de/,Autoda was an online dealer of secon-hand cars. The company was acquired by MeinAuto in 2013.,Autoda was an online dealer of secon-hand cars. The company was acquired by MeinAuto in 2013.,marketplace,exit,exit,"Filderstadt, Germany",Germany,Filderstadt,2011,2010,high
betreut.de,Betreut.de,hv_capital,https://www.hvcapital.com/companies,https://www.hvcapital.com/,https://www.betreut.de/,"Betreut.de is one of the largest service providers used by families seeking care providers, providing a place to easily connect with hundreds of thousands of care providers, share caregiving experiences and get advice. The company helps families address the unique lifecycle of care needs that they go through – child care, senior care, special-needs care, tutoring, pet care, housekeeping and more. In 2012, Betreut.de was acquired by Care.com","Betreut.de is one of the largest service providers used by families seeking care providers, providing a place to easily connect with hundreds of thousands of care providers, share caregiving experiences and get advice. The company helps families address the unique lifecycle of care needs that they go through – child care, senior care, special-needs care, tutoring, pet care, housekeeping and more. In 2012, Betreut.de was acquired by Care.com",healthcare,exit,exit,"Berlin, Germany",Germany,Berlin,2007,2007,high
beyondpresence.ai,Beyond Presence,hv_capital,https://www.hvcapital.com/companies,https://www.hvcapital.com/,https://www.beyondpresence.ai/,Hyper-realistic personalized digital clones that can have human-like face to face conversations.,Hyper-realistic personalized digital clones that can have human-like face to face conversations.,enterprise,early,early,"Munich, Germany",Germany,Munich,2024,2024,high
boku.com,Boku,hv_capital,https://www.hvcapital.com/companies,https://www.hvcapital.com/,http://www.boku.com/,"Boku, the leading direct carrier billing mobile payments company, brings bank­‐grade payments technology and mobile users together, creating a trusted, accessible platform for consumers, merchants and operators alike. Based in San Francisco with offices in Europe, Latin America, and Asia, boku reaches more than 4 billion consumers worldwide, across 67 different countries with more than 250 operators. In 2014, boku acquired Mopay. In November 2017, Boku went public on London Stock Exchange’s Alternative Investment Market (AIM).","Boku, the leading direct carrier billing mobile payments company, brings bank­‐grade payments technology and mobile users together, creating a trusted, accessible platform for consumers, merchants and operators alike. Based in San Francisco with offices in Europe, Latin America, and Asia, boku reaches more than 4 billion consumers worldwide, across 67 different countries with more than 250 operators. In 2014, boku acquired Mopay. In November 2017, Boku went public on London Stock Exchange’s Alternative Investment Market (AIM).",fintech,exit,exit,"SanFrancisco, USA",USA,SanFrancisco,2014,2009,high
bol.com,bol.com,hv_capital,https://www.hvcapital.com/companies,https://www.hvcapital.com/,http://www.bol.com/,"Probably the best-known Internet shop in the Netherlands, bol.com is a perfect example of the successful realisation of an e-commerce concept. Private customers and firms can choose from 1.5 million Dutch and English books, CDs, DVDs, videos, software and games, around the clock. In 2005, bol.com was acquired by Cyrte.","Probably the best-known Internet shop in the Netherlands, bol.com is a perfect example of the successful realisation of an e-commerce concept. Private customers and firms can choose from 1.5 million Dutch and English books, CDs, DVDs, videos, software and games, around the clock. In 2005, bol.com was acquired by Cyrte.",marketplace,exit,exit,"Utrecht, Netherlands",Netherlands,Utrecht,2003,1999,high
buecher.de,bücher.de,hv_capital,https://www.hvcapital.com/companies,https://www.hvcapital.com/,http://www.buecher.de/,"bücher.de guarantees ordering books, in Internet, from the comfort of home, with no postage to pay and speedy delivery within Germany. Many hundreds of thousands of German and other language titles are some of the things on offer at the online shop. In 2005, bücher.de was acquired by Weltbild.","bücher.de guarantees ordering books, in Internet, from the comfort of home, with no postage to pay and speedy delivery within Germany. Many hundreds of thousands of German and other language titles are some of the things on offer at the online shop. In 2005, bücher.de was acquired by Weltbild.",consumer,exit,exit,"Augsburg, Germany",Germany,Augsburg,1999,1999,high
cabify.com,Cabify,hv_capital,https://www.hvcapital.com/companies,https://www.hvcapital.com/,https://www.cabify.com/,"Cabify is a ride-sharing company that operates in Latin America, Spain, and Portugal. In 2017, Cabify acquired former HV portfolio company Easy Taxi.","Cabify is a ride-sharing company that operates in Latin America, Spain, and Portugal. In 2017, Cabify acquired former HV portfolio company Easy Taxi.",marketplace,exit,exit,"Madrid, Spain",Spain,Madrid,2014,2011,high
cafepress.com,CafePress,hv_capital,https://www.hvcapital.com/companies,https://www.hvcapital.com/,http://www.cafepress.com/,"CafePress is a print on-demand marketplace for user-generated designs. Their breadth of merchandise that can be customized includes high-quality products such as t-shirts, posters, bumper stickers, mugs and much more. CafePress is listed on the NASDAQ.","CafePress is a print on-demand marketplace for user-generated designs. Their breadth of merchandise that can be customized includes high-quality products such as t-shirts, posters, bumper stickers, mugs and much more. CafePress is listed on the NASDAQ.",consumer,exit,exit,"Louisville, USA",USA,Louisville,2007,1999,high
care.com,Care.com,hv_capital,https://www.hvcapital.com/companies,https://www.hvcapital.com/,http://www.care.com/,"Care.com, Inc. is the largest and fastest-growing service used by families seeking care providers, providing a place to easily connect with hundreds of thousands of care providers, share caregiving experiences and get advice. The company helps families address the unique lifecycle of care needs that they go through – child care, senior care, special-needs care, tutoring, pet care, housekeeping and more. Care.com went public in January 2014 and is listed on NASDAQ.","Care.com, Inc. is the largest and fastest-growing service used by families seeking care providers, providing a place to easily connect with hundreds of thousands of care providers, share caregiving experiences and get advice. The company helps families address the unique lifecycle of care needs that they go through – child care, senior care, special-needs care, tutoring, pet care, housekeeping and more. Care.com went public in January 2014 and is listed on NASDAQ.",marketplace,exit,exit,"Waltham, USA",USA,Waltham,2010,2006,high
caremondo.com,Caremondo,hv_capital,https://www.hvcapital.com/companies,https://www.hvcapital.com/,https://www.caremondo.com/,"Caremondo is a global digital marketplace for medical tourism that enables patients to compare treatment offers and book appointments in clinics worldwide. Caremondo partners with renowned hospitals such as the Charité Berlin and the HELIOS Hospital Group. For patients, Caremondo is a service provider, that books clinic appointments and arranges additional services such as translations, interpreter services, and hotels. For clinics, Caremondo is an international online marketing partner that generates visibility and patient inquiries from patients worldwide. In 2016, Caremondo was sold to FairMedOnline.","Caremondo is a global digital marketplace for medical tourism that enables patients to compare treatment offers and book appointments in clinics worldwide. Caremondo partners with renowned hospitals such as the Charité Berlin and the HELIOS Hospital Group. For patients, Caremondo is a service provider, that books clinic appointments and arranges additional services such as translations, interpreter services, and hotels. For clinics, Caremondo is an international online marketing partner that generates visibility and patient inquiries from patients worldwide. In 2016, Caremondo was sold to FairMedOnline.",healthcare,exit,exit,"Munich, Germany",Germany,Munich,2015,2014,high
carmudi.com.ph,Carmudi,hv_capital,https://www.hvcapital.com/companies,https://www.hvcapital.com/,https://www.carmudi.com.ph,"Carmudi is the vehicle marketplace that offers buyers, sellers and car dealers a platform to find cars, motorcycles and commercial vehicles online. The company is currently active in several Asian countries and Mexico.","Carmudi is the vehicle marketplace that offers buyers, sellers and car dealers a platform to find cars, motorcycles and commercial vehicles online. The company is currently active in several Asian countries and Mexico.",marketplace,growth,growth,"Berlin, Germany",Germany,Berlin,2015,2013,high
caronsale.de,CarOnSale,hv_capital,https://www.hvcapital.com/companies,https://www.hvcapital.com/,https://www.caronsale.de,"CarOnSale is a B2B auction platform digitalizing the lease-return and trade-in of cars. The company’s platform functions as an intermediary between car dealerships and car traders by taking over all vehicle remarketing operations, enabling its clients to conveniently access the best possible sales revenues.","CarOnSale is a B2B auction platform digitalizing the lease-return and trade-in of cars. The company’s platform functions as an intermediary between car dealerships and car traders by taking over all vehicle remarketing operations, enabling its clients to conveniently access the best possible sales revenues.",marketplace,growth,growth,"Berlin, Germany",Germany,Berlin,2021,2018,high
carsale24.com,carsale24,hv_capital,https://www.hvcapital.com/companies,https://www.hvcapital.com/,https://www.carsale24.com/,The team of committed experts at carsale24 provides professional dealers with private second-hand cars and takes care of the entire sales process.,The team of committed experts at carsale24 provides professional dealers with private second-hand cars and takes care of the entire sales process.,marketplace,exit,exit,"Solingen, Germany",Germany,Solingen,2011,2010,high
caterwings.com,Caterwings,hv_capital,https://www.hvcapital.com/companies,https://www.hvcapital.com/,https://www.caterwings.com/,"Caterwings is the next generation online marketplace for catering services with an emphasis on convenience, flexibility and on-demand food delivery. Caterwings’ online platform helps customers find the perfect catering service for their regular and special occasions – in record time and with unparalleled adjustability. Caterwings was exited to the B2B Food Group giving Caterwings the ability to benefit from the scale within the B2B Food Group.","Caterwings is the next generation online marketplace for catering services with an emphasis on convenience, flexibility and on-demand food delivery. Caterwings’ online platform helps customers find the perfect catering service for their regular and special occasions – in record time and with unparalleled adjustability. Caterwings was exited to the B2B Food Group giving Caterwings the ability to benefit from the scale within the B2B Food Group.",marketplace,exit,exit,"Berlin, Germany / London",Germany / London,Berlin,2016,2015,high
ceezer.earth,Ceezer,hv_capital,https://www.hvcapital.com/companies,https://www.hvcapital.com/,https://www.ceezer.earth,paragraph,paragraph,climate,early,early,"Berlin, Germany",Germany,Berlin,2024,2021,high
cello.so,Cello,hv_capital,https://www.hvcapital.com/companies,https://www.hvcapital.com/,https://cello.so,paragraph,paragraph,enterprise,early,early,"Munich, Germany",Germany,Munich,2023,2022,high
certifaction.io,Certifaction,hv_capital,https://www.hvcapital.com/companies,https://www.hvcapital.com/,https://certifaction.io/,"Certifaction is a B2B privacy-first e-Signing solution, that enables businesses to sign & certify their documents with protected confidentiality and stay in control with an end-to-end encryption and local processing","Certifaction is a B2B privacy-first e-Signing solution, that enables businesses to sign & certify their documents with protected confidentiality and stay in control with an end-to-end encryption and local processing",enterprise,early,early,"Zurich, Switzerland",Switzerland,Zurich,2021,2020,high
citydeal.de,Citydeal,hv_capital,https://www.hvcapital.com/companies,https://www.hvcapital.com/,http://citydeal.de,CityDeal GmbH was founded in 2009 in Berlin. Groupon Inc. acquired all shares in the company in May 2010. Since then the company has also been operating under the Groupon banner.,CityDeal GmbH was founded in 2009 in Berlin. Groupon Inc. acquired all shares in the company in May 2010. Since then the company has also been operating under the Groupon banner.,consumer,exit,exit,"Berlin, Germany",Germany,Berlin,2009,2009,high
classmarkets.com,Classmarkets,hv_capital,https://www.hvcapital.com/companies,https://www.hvcapital.com/,http://www.classmarkets.com/,"Classmarkets is a technology provider for online classifieds market places. Its software as a service suite covers all relevant verticals (e.g. real estate, job listings, car) and provides integrated features to support sales and online marketing. The solutions power a number of high profile classifieds site of major regional newspaper publishers in Germany. In 2015, Classmarkets was acquired by ImmobilienScout24.","Classmarkets is a technology provider for online classifieds market places. Its software as a service suite covers all relevant verticals (e.g. real estate, job listings, car) and provides integrated features to support sales and online marketing. The solutions power a number of high profile classifieds site of major regional newspaper publishers in Germany. In 2015, Classmarkets was acquired by ImmobilienScout24.",consumer,exit,exit,"Berlin, Germany",Germany,Berlin,2008,2008,high
comet.rocks,Comet,hv_capital,https://www.hvcapital.com/companies,https://www.hvcapital.com/,https://www.comet.rocks,paragraph,paragraph,fintech,early,early,"Berlin, Germany",Germany,Berlin,2022,2022,high
dafiti.com.br,Dafiti,hv_capital,https://www.hvcapital.com/companies,https://www.hvcapital.com/,https://www.dafiti.com.br/,"Dafiti is the leading Brazilian online shop for shoes, fashion and accessories. It offers a wide variety of national and international brands and designers to women, men and kids. Dafiti focusses on delivering a great customer experience. Prior to Rocket Internet’s successful IPO, HV contributed its stakes in Dafiti and 6 other companies in exchange for a 2.5% stake in Rocket Internet.","Dafiti is the leading Brazilian online shop for shoes, fashion and accessories. It offers a wide variety of national and international brands and designers to women, men and kids. Dafiti focusses on delivering a great customer experience. Prior to Rocket Internet’s successful IPO, HV contributed its stakes in Dafiti and 6 other companies in exchange for a 2.5% stake in Rocket Internet.",consumer,exit,exit,"SaoPaulo, Brazil",Brazil,SaoPaulo,2011,2010,high
dance.co,Dance,hv_capital,https://www.hvcapital.com/companies,https://www.hvcapital.com/,https://www.dance.co/,"Dance is an e-bike subscription service founded with the purpose of positively impacting health, sustainability and livable cities. With Dance, you get a state-of-the-art e-bike, without the hassle of buying and owning, and with all the services you need included. The longer term goal of Dance is to spark a global movement built on a connected community of passionate e-bike riders, ultimately transforming our cities to be more bike-friendly and livable.","Dance is an e-bike subscription service founded with the purpose of positively impacting health, sustainability and livable cities. With Dance, you get a state-of-the-art e-bike, without the hassle of buying and owning, and with all the services you need included. The longer term goal of Dance is to spark a global movement built on a connected community of passionate e-bike riders, ultimately transforming our cities to be more bike-friendly and livable.",consumer,exit,exit,"Berlin, Germany",Germany,Berlin,2020,2020,high
dawanda.com,DaWanda,hv_capital,https://www.hvcapital.com/companies,https://www.hvcapital.com/,http://www.dawanda.com/,"DaWanda consolidates the demand for producers who design or produce products themselves and offers a professional and wide-ranging sales platform. Fashion designers, prospective product designers, artisans and artists can open their own shop on DaWanda free of charge and offer their products in a high-class environment. In 2015, HV sold its shareholding to Insight Venture Partners.","DaWanda consolidates the demand for producers who design or produce products themselves and offers a professional and wide-ranging sales platform. Fashion designers, prospective product designers, artisans and artists can open their own shop on DaWanda free of charge and offer their products in a high-class environment. In 2015, HV sold its shareholding to Insight Venture Partners.",marketplace,exit,exit,"Berlin, Germany",Germany,Berlin,2007,2006,high
de.weareholy.com,HOLY,hv_capital,https://www.hvcapital.com/companies,https://www.hvcapital.com/,https://de.weareholy.com/,"At HOLY, we revolutionize soft drinks. Sounds bold, right? But what does it actually mean? Soft drinks are tasty. Yet, they're not good for your health and our planet. With our powder-based products HOLY Energy® and HOLY Iced Tea®, we finally change that: We combine delicious taste and healthy ingredients - and sell it directly to the consumer through our own online shop.","At HOLY, we revolutionize soft drinks. Sounds bold, right? But what does it actually mean? Soft drinks are tasty. Yet, they're not good for your health and our planet. With our powder-based products HOLY Energy® and HOLY Iced Tea®, we finally change that: We combine delicious taste and healthy ingredients - and sell it directly to the consumer through our own online shop.",consumer,growth,growth,"Berlin, Germany",Germany,Berlin,2025,2020,high
dealflo.com,Dealflo,hv_capital,https://www.hvcapital.com/companies,https://www.hvcapital.com/,http://www.dealflo.com/,"Dealflo is an end-to-end financial agreement automation service incorporating all the components necessary to fully automate financial transactions. Its suite of powerful, customisable modules caters for the most demanding clients and is geared towards increasing conversion, decreasing costs and enforcing compliance, all within a secure cloud based SaaS solution. In 2018, Dealflo was acquired by VASCO Data Security International Inc., which is now better known as OneSpan.","Dealflo is an end-to-end financial agreement automation service incorporating all the components necessary to fully automate financial transactions. Its suite of powerful, customisable modules caters for the most demanding clients and is geared towards increasing conversion, decreasing costs and enforcing compliance, all within a secure cloud based SaaS solution. In 2018, Dealflo was acquired by VASCO Data Security International Inc., which is now better known as OneSpan.",fintech,exit,exit,"London, UK",UK,London,2017,2009,high
deliveryhero.com,DELIVERY HERO,hv_capital,https://www.hvcapital.com/companies,https://www.hvcapital.com/,http://www.deliveryhero.com/,"Delivery Hero is holding company of several internet platforms where customers can order food (e.g. Pizza, Pasta, Asian Food etc.) quickly and securely and at no extra cost. Choice, convenience, reliability, and quality are the key benefits for the customers. Delivery Hero provides a purely success-related lead generation platform for delivery services. Delivery Hero and Lieferheld were merged in February 2012. Lieferheld was founded in September 2010 and is located in Berlin.","Delivery Hero is holding company of several internet platforms where customers can order food (e.g. Pizza, Pasta, Asian Food etc.) quickly and securely and at no extra cost. Choice, convenience, reliability, and quality are the key benefits for the customers. Delivery Hero provides a purely success-related lead generation platform for delivery services. Delivery Hero and Lieferheld were merged in February 2012. Lieferheld was founded in September 2010 and is located in Berlin.",marketplace,exit,exit,"Berlin, Germany",Germany,Berlin,2010,2010,high
delli.market,Delli,hv_capital,https://www.hvcapital.com/companies,https://www.hvcapital.com/,https://delli.market/,"DELLI believes that good food is for everyone. They’re on a mission to make it accessible and enjoyed by all. It's a fun food and drink app, where you can both buy and sell. You can enjoy exciting drops, support passionate producers, sell unique items, and be part of a bold new community","DELLI believes that good food is for everyone. They’re on a mission to make it accessible and enjoyed by all. It's a fun food and drink app, where you can both buy and sell. You can enjoy exciting drops, support passionate producers, sell unique items, and be part of a bold new community",consumer,seed,seed,"London, UK",UK,London,2021,2020,high
depop.com,DEPOP,hv_capital,https://www.hvcapital.com/companies,https://www.hvcapital.com/,https://www.depop.com/,"Depop is the mobile marketplace for anyone to buy and sell almost anything straight from their mobile. If you can photograph it, you can sell it. Users follow their favourite individuals, shops and brands to discover what they buy, sell and like, or open their own little mobile shop with the touch of a button.","Depop is the mobile marketplace for anyone to buy and sell almost anything straight from their mobile. If you can photograph it, you can sell it. Users follow their favourite individuals, shops and brands to discover what they buy, sell and like, or open their own little mobile shop with the touch of a button.",marketplace,exit,exit,"London, UK",UK,London,2012,2011,high
desci.com,DeSci Labs,hv_capital,https://www.hvcapital.com/companies,https://www.hvcapital.com/,https://desci.com,paragraph,paragraph,frontierTech,early,early,"Wollerau, Switzerland",Switzerland,Wollerau,2023,2021,high
deutsche-startups.de,Deutsche Startups,hv_capital,https://www.hvcapital.com/companies,https://www.hvcapital.com/,https://www.deutsche-startups.de/,"Deutsche Startups supplies information on news on the domestic internet start-up scene on a daily basis. Interviews, portraits of individual start-ups and founders, as well as market census data on interesting segments complete the wealth of daily news. The comprehensive range of information on deutsche-startups.de is rounded up by background information on investors, business angels, as well as guest articles by prominent founders and other internet personalities.","Deutsche Startups supplies information on news on the domestic internet start-up scene on a daily basis. Interviews, portraits of individual start-ups and founders, as well as market census data on interesting segments complete the wealth of daily news. The comprehensive range of information on deutsche-startups.de is rounded up by background information on investors, business angels, as well as guest articles by prominent founders and other internet personalities.",consumer,exit,exit,"Berlin, Germany",Germany,Berlin,2007,2007,high
dialogue.co,Dialogue,hv_capital,https://www.hvcapital.com/companies,https://www.hvcapital.com/,https://www.dialogue.co/,Dialogue provides virtual health and telemedicine services to employers who are looking to attract and retain talent while reducing absenteeism and health-related costs.,Dialogue provides virtual health and telemedicine services to employers who are looking to attract and retain talent while reducing absenteeism and health-related costs.,healthcare,exit,exit,"Montreal, Canada",Canada,Montreal,2017,2016,high
doinstruct.com,doinstruct,hv_capital,https://www.hvcapital.com/companies,https://www.hvcapital.com/,https://www.doinstruct.com/,"doinstruct is the leading operations excellence platform for frontline workers, enabling organizations to effortlessly achieve compliance and process automation. Leveraging advanced AI technology, doinstruct eliminates traditional barriers to workplace safety and compliance, helping organizations reduce costs, improve safety standards, and increase productivity across their operations.","doinstruct is the leading operations excellence platform for frontline workers, enabling organizations to effortlessly achieve compliance and process automation. Leveraging advanced AI technology, doinstruct eliminates traditional barriers to workplace safety and compliance, helping organizations reduce costs, improve safety standards, and increase productivity across their operations.",enterprise,early,early,"Berlin, Germany",Germany,Berlin,2025,2021,high
