domain,name,source,icp_tier,icp_score,signal_score,signal_trust,signals,tags,batch,team_size,location,one_liner,description,company_url,source_url
getbux.com,Bux,hv_capital,ICP 2,11,6,high,docs|auth,fintech,growth,,"Amsterdam, Netherlands","BUX is a fintech firm that makes investing in the financial markets accessible and affordable to everyone. Its simple onboarding and intuitive user interface make it the perfect platform for anyone wanting to get a taste of investing that is put off by the complexities and cash requirements of traditional brokers. BUX is offering zero commission investing in shares and ETFs, but also in cryptocurrencies and derivatives.","BUX is a fintech firm that makes investing in the financial markets accessible and affordable to everyone. Its simple onboarding and intuitive user interface make it the perfect platform for anyone wanting to get a taste of investing that is put off by the complexities and cash requirements of traditional brokers. BUX is offering zero commission investing in shares and ETFs, but also in cryptocurrencies and derivatives.",http://www.getbux.com/,https://www.hvcapital.com/companies
demoboost.com,Demoboost,b2venture,ICP 2,11,5,high,api|app,SaaS,2022,,Poland,"Demoboost is a Warsaw-based start-up helping B2B software vendors transform their marketing and sales activities, by providing a platform to easily create, personalize, share, and track product demos at scale.","Demoboost is a Warsaw-based start-up helping B2B software vendors transform their marketing and sales activities, by providing a platform to easily create, personalize, share, and track product demos at scale.",https://demoboost.com/,https://www.b2venture.vc/portfolio
yapily.com,Yapily,hv_capital,ICP 2,10,15,high,api|docs|auth|console|dashboard|status,fintech,seed,,"London, UK","Yapily is an award-winning, 'API Only' technology provider whose mission is to enable innovative products to connect to banks, empowering a new generation of financial services. It provides a seamless, secure and scalable pathway for end users to connect to their finances and make payments. Yapily works behind the scenes, providing API connectivity to all banks via a single integration to retrieve data and initiate payments.","Yapily is an award-winning, 'API Only' technology provider whose mission is to enable innovative products to connect to banks, empowering a new generation of financial services. It provides a seamless, secure and scalable pathway for end users to connect to their finances and make payments. Yapily works behind the scenes, providing API connectivity to all banks via a single integration to retrieve data and initiate payments.",https://www.yapily.com/,https://www.hvcapital.com/companies
omnea.co,Omnea,point_nine,ICP 2,10,12,high,api|docs|auth|app|status,Enterprise|Fintech|Vertical Software|AI,Pre-seed,,"London, UK","Omnea is an AI-native procurement and supplier relationship management platform that streamlines intake, approvals, and renewals, centralizes supplier data, and automates third‑party risk and performance workflows across systems.","Omnea is an AI-native procurement and supplier relationship management platform that streamlines intake, approvals, and renewals, centralizes supplier data, and automates third‑party risk and performance workflows across systems.",https://www.omnea.co/,https://www.pointnine.com/companies
predium.de,Predium,b2venture,ICP 2,10,12,high,api|docs|auth|app|status,Climate|SaaS|PropTech & Construction,2022,,Germany,"Predium offers an all-in-one software solution that determines ESG balances of buildings, proposes measures for CO2 reduction and backs these up with an investment calculation. The company thus enables real estate owners to reconcile sustainability and economic efficiency.","Predium offers an all-in-one software solution that determines ESG balances of buildings, proposes measures for CO2 reduction and backs these up with an investment calculation. The company thus enables real estate owners to reconcile sustainability and economic efficiency.",https://www.predium.de/en,https://www.b2venture.vc/portfolio
deepl.com,DeepL,b2venture,ICP 2,10,11,high,api|developers|auth|app,SaaS|AI & Machine Learning,2009,,Germany,"DeepL is a Cologne-based, German AI company that strives to overcome language barriers through artificial intelligence. The exceptional quality of DeepL's machine translation services is based on proprietary improvements in neural network mathematics and methodology.","DeepL is a Cologne-based, German AI company that strives to overcome language barriers through artificial intelligence. The exceptional quality of DeepL's machine translation services is based on proprietary improvements in neural network mathematics and methodology.",https://www.deepl.com/en/translator,https://www.b2venture.vc/portfolio
golayer.io,Layer,b2venture,ICP 2,10,11,high,api|docs|auth|app,SaaS|FinTech|Trade Sale,2019,,Germany,"Layer is a cloud application that adds granular access control, process transparency, sophisticated data consolidation, and much more. Acquired by Sheetgo in 2023.","Layer is a cloud application that adds granular access control, process transparency, sophisticated data consolidation, and much more. Acquired by Sheetgo in 2023.",https://golayer.io/,https://www.b2venture.vc/portfolio
revolut.com,Revolut,point_nine,ICP 2,10,11,high,api|developer|developers|app,Consumer|Fintech,Seed,,"London, UK","Revolut is the leading global neobank. Founded in London in 2015, Revolut has become a global financial super app, unifying everyday money management – spend, send, save, invest, and business finances – in a single platform.","Revolut is the leading global neobank. Founded in London in 2015, Revolut has become a global financial super app, unifying everyday money management – spend, send, save, invest, and business finances – in a single platform.",https://revolut.com/,https://www.pointnine.com/companies
salusfintech.com,Salus,antler,ICP 2,10,10,high,api|auth|app|dashboard,FinTech,2022,,US,Salus is a digital underwriting platform. It licenses proprietary underwriting models to B2B clients to expand access to affordable credit for traditionally under-served borrowers.,Salus is a digital underwriting platform. It licenses proprietary underwriting models to B2B clients to expand access to affordable credit for traditionally under-served borrowers.,https://www.salusfintech.com/,https://www.antler.co/portfolio
candis.io,Candis,point_nine,ICP 1,10,9,high,api|developer|app|status,Enterprise|Fintech,Seed,,"Berlin, Germany","Founded in 2015, Candis offers a cloud solution for finance teams to manage invoices at scale: centralizing receipt, automating data extraction and duplicate detection, streamlining multi-step approvals, and syncing to accounting and payment tools.","Founded in 2015, Candis offers a cloud solution for finance teams to manage invoices at scale: centralizing receipt, automating data extraction and duplicate detection, streamlining multi-step approvals, and syncing to accounting and payment tools.",http://www.candis.io/,https://www.pointnine.com/companies
raisin.com,Raisin,b2venture,ICP 1,10,9,high,api|auth|app|status,FinTech|Marketplace,2014,,Germany,The first and only pan-European deposit marketplace.,The first and only pan-European deposit marketplace.,https://www.raisin.com/,https://www.b2venture.vc/portfolio
rvvup.com,rvvup,hv_capital,ICP 2,10,9,high,api|docs|dashboard|status,fintech,seed,,"London, UK","Founded in London late 2020, Rvvup’s purpose is to enable the seamless interoperability of CeFi and DeFi with advanced infrastructure that empowers and future proofs businesses with embedded finance, payments as a service and enhanced digital money movement. In 2025 Rvvup was acquired by Zopa","Founded in London late 2020, Rvvup’s purpose is to enable the seamless interoperability of CeFi and DeFi with advanced infrastructure that empowers and future proofs businesses with embedded finance, payments as a service and enhanced digital money movement. In 2025 Rvvup was acquired by Zopa",https://www.rvvup.com/,https://www.hvcapital.com/companies
hifibridge.com,HIFI,antler,ICP 2,10,8,high,api|docs|dashboard,FinTech,2023,,US,Stablecoin infrastructure for developers,Stablecoin infrastructure for developers,https://www.hifibridge.com/,https://www.antler.co/portfolio
mentium.io,Mentium,antler,ICP 2,10,8,high,api|docs|app,FinTech,2022,,US,"Mentium is the future of startup financing and b2b payments infrastructure. Mentium is a blockchain-powered fintech platform that offers SaaS companies revenue-based financing and b2b payment solutions. We help SaaS companies grow by providing them easy access to capital and transparent, quick, and affordable B2B payment infrastructure that uses stablecoins (USDC).","Mentium is the future of startup financing and b2b payments infrastructure. Mentium is a blockchain-powered fintech platform that offers SaaS companies revenue-based financing and b2b payment solutions. We help SaaS companies grow by providing them easy access to capital and transparent, quick, and affordable B2B payment infrastructure that uses stablecoins (USDC).",https://www.mentium.io,https://www.antler.co/portfolio
stampit.co,Stamp,b2venture,ICP 2,10,8,high,api|docs|app,Consumer|FinTech,2019,,Italy,"Stamp started with the idea that technology can make shopping tax free simple and free of charges. They built a platform that connects retailers with international customers cutting out intermediary agencies, and it’s aimed to become the one-stop-shop for travel shoppers around the world.","Stamp started with the idea that technology can make shopping tax free simple and free of charges. They built a platform that connects retailers with international customers cutting out intermediary agencies, and it’s aimed to become the one-stop-shop for travel shoppers around the world.",https://stampit.co/,https://www.b2venture.vc/portfolio
superhedge.com,Superhedge,antler,ICP 2,10,8,high,api|docs|app,FinTech,2022,,Vietnam,"Superhedge is a DeFi platform offering structured products that protect principal, generate income, and provide exposure to market upside.","Superhedge is a DeFi platform offering structured products that protect principal, generate income, and provide exposure to market upside.",https://www.superhedge.com/,https://www.antler.co/portfolio
tradomate.one,Tradomate,antler,ICP 2,10,8,high,api|auth|app,FinTech,2024,,India,A trade analysis and automation platform for financial markets aiming to become the next gen broker,A trade analysis and automation platform for financial markets aiming to become the next gen broker,https://tradomate.one/,https://www.antler.co/portfolio
ecolytiq.com,ecolytiq,b2venture,ICP 1,10,7,high,docs|developer|status,Climate|FinTech|Trade Sale,2021,,Germany,Imagine a technology analyzing payment transactions in real-time for their environmental impact. ecolytiq's Sustainabilty-as-a-Service solution enables you to offer sustainable finance products for tomorrow and drive millions of consumers to change their behavior for the better. ecolytiq was acquired by Clarity AI in July 2025.,Imagine a technology analyzing payment transactions in real-time for their environmental impact. ecolytiq's Sustainabilty-as-a-Service solution enables you to offer sustainable finance products for tomorrow and drive millions of consumers to change their behavior for the better. ecolytiq was acquired by Clarity AI in July 2025.,https://ecolytiq.com/,https://www.b2venture.vc/portfolio
usequid.com,Quid,antler,ICP 1,10,7,high,api|app|dashboard,FinTech,2024,,Germany,AI agents that automate invoice workflows across accounting ERPs,AI agents that automate invoice workflows across accounting ERPs,https://www.usequid.com/,https://www.antler.co/portfolio
baresquare.com,Baresquare,b2venture,ICP 2,10,6,high,docs|auth,SaaS,2021,,Greece,"Baresquare has developed an AI-powered analytics platform to transform the way marketing, eCom and retail professionals work with data. Rather than continue sifting and sorting through endless static data reports in search of insights and answers, Baresquare’s action-driven analytics platform pinpoints traffic, conversion and customer experience optimization opportunities—providing teams with clear next steps to act fast for the greatest business impact.","Baresquare has developed an AI-powered analytics platform to transform the way marketing, eCom and retail professionals work with data. Rather than continue sifting and sorting through endless static data reports in search of insights and answers, Baresquare’s action-driven analytics platform pinpoints traffic, conversion and customer experience optimization opportunities—providing teams with clear next steps to act fast for the greatest business impact.",https://baresquare.com/,https://www.b2venture.vc/portfolio
flizpay.de,FLIZpay,antler,ICP 1,10,6,high,api|app|status,FinTech,2024,,Germany,"FLIZpay is a payment method that is free for 90% of businesses while rewarding consumers with savings through cashback, creating a win-win for everyone.","FLIZpay is a payment method that is free for 90% of businesses while rewarding consumers with savings through cashback, creating a win-win for everyone.",https://www.flizpay.de/,https://www.antler.co/portfolio
honeycoin.app,HoneyCoin,antler,ICP 2,10,6,high,api|docs,FinTech,2021,,Kenya,"Blockchain-powered, stablecoin-based social commerce platform for African Creators and Gen Z / Millenials.","Blockchain-powered, stablecoin-based social commerce platform for African Creators and Gen Z / Millenials.",https://honeycoin.app/,https://www.antler.co/portfolio
indiap2p.com,IndiaP2P,antler,ICP 2,10,6,high,api|docs,FinTech,2022,,India,IndiaP2P is an RBI-certified peer-to-peer lending platform offering retail investors up to 18% annual returns through diversified loans to women entrepreneurs.,IndiaP2P is an RBI-certified peer-to-peer lending platform offering retail investors up to 18% annual returns through diversified loans to women entrepreneurs.,https://www.indiap2p.com/,https://www.antler.co/portfolio
target-video.com,TargetVideo,b2venture,ICP 2,10,6,high,api|developer,SaaS,2015,,Germany,"TargetVideo is a digital publishing house and one of the leading video suppliers and marketers. For publishers, they offer high-quality moving image content with over 3,000 premium video clips from various subject areas and attractive marketing within their video syndication network.","TargetVideo is a digital publishing house and one of the leading video suppliers and marketers. For publishers, they offer high-quality moving image content with over 3,000 premium video clips from various subject areas and attractive marketing within their video syndication network.",https://www.target-video.com/,https://www.b2venture.vc/portfolio
alphaimpact.fi,Alpha Impact,antler,ICP 2,10,5,high,docs|app,FinTech,2021,,Singapore,A platform allowing novice cryptocurrency enthusiasts to securely and safely follow the trades of industry veterans.,A platform allowing novice cryptocurrency enthusiasts to securely and safely follow the trades of industry veterans.,https://alphaimpact.fi/,https://www.antler.co/portfolio
benjaminone.com,Benjamin Capital,antler,ICP 2,10,5,high,api|app,FinTech,2022,,US,Benjamin puts 30 million cash-back locations in consumers pockets by offering a banking platform that connects merchants and their customers,Benjamin puts 30 million cash-back locations in consumers pockets by offering a banking platform that connects merchants and their customers,https://www.benjaminone.com/,https://www.antler.co/portfolio
degura.de,Degura,b2venture,ICP 2,10,5,high,api|app,SaaS|Marketplace|InsurTech,2023,,Germany,"Degura provides company HR departments with a cloud-based software solution tailored to both the B2B and B2C sides of pension plan provision, making discovering, offering and managing company pension plans in Germany (bAV) as easy as online shopping.","Degura provides company HR departments with a cloud-based software solution tailored to both the B2B and B2C sides of pension plan provision, making discovering, offering and managing company pension plans in Germany (bAV) as easy as online shopping.",https://www.degura.de/en/,https://www.b2venture.vc/portfolio
peccala.com,Peccala,antler,ICP 1,10,5,high,api|app,FinTech,2021,,Germany,Peccala is a crypto asset manager offering AI-powered trading strategies to everyday investors.,Peccala is a crypto asset manager offering AI-powered trading strategies to everyday investors.,https://peccala.com,https://www.antler.co/portfolio
resollect.com,Resollect,antler,ICP 2,10,5,high,api|app,FinTech,2025,,India,"An intelligent, Agentic AI–powered collections platform that seamlessly connects financial institutions, legal teams, recovery agents, and valuers on a single secure, auditable, and fully automated system.","An intelligent, Agentic AI–powered collections platform that seamlessly connects financial institutions, legal teams, recovery agents, and valuers on a single secure, auditable, and fully automated system.",https://www.resollect.com/,https://www.antler.co/portfolio
spiceprotocol.xyz,Spice,antler,ICP 2,10,5,high,docs|dashboard,FinTech,2025,,Australia,Stablecoin infrastructure powered by a fully decentralized underwriting engine and seamless liquidity to next‑gen RWAs,Stablecoin infrastructure powered by a fully decentralized underwriting engine and seamless liquidity to next‑gen RWAs,https://spiceprotocol.xyz/,https://www.antler.co/portfolio
payrails.com,Payrails,hv_capital,ICP 1,10,4,high,docs|status,fintech,seed,,"Berlin, Germany",Payrails enables high-growth companies to craft their payment experiences and financial services globally.,Payrails enables high-growth companies to craft their payment experiences and financial services globally.,https://www.payrails.com,https://www.hvcapital.com/companies
azimo.com,Azimo,b2venture,ICP 2,10,3,high,api,FinTech|InsurTech|Trade Sale,2015,,UK,"Azimos mission is to use technology to democratise financial services, making them affordable and available to all. Azimo is the better way to share money around the world, improving millions of people’s lives. Azimo was acquired by Papaya Global, an Israeli-founded global payroll and payments platform, in 2022.","Azimos mission is to use technology to democratise financial services, making them affordable and available to all. Azimo is the better way to share money around the world, improving millions of people’s lives. Azimo was acquired by Papaya Global, an Israeli-founded global payroll and payments platform, in 2022.",https://azimo.com/,https://www.b2venture.vc/portfolio
boku.com,Boku,hv_capital,ICP 2,10,3,high,developer,fintech,exit,,"SanFrancisco, USA","Boku, the leading direct carrier billing mobile payments company, brings bank­‐grade payments technology and mobile users together, creating a trusted, accessible platform for consumers, merchants and operators alike. Based in San Francisco with offices in Europe, Latin America, and Asia, boku reaches more than 4 billion consumers worldwide, across 67 different countries with more than 250 operators. In 2014, boku acquired Mopay. In November 2017, Boku went public on London Stock Exchange’s Alternative Investment Market (AIM).","Boku, the leading direct carrier billing mobile payments company, brings bank­‐grade payments technology and mobile users together, creating a trusted, accessible platform for consumers, merchants and operators alike. Based in San Francisco with offices in Europe, Latin America, and Asia, boku reaches more than 4 billion consumers worldwide, across 67 different countries with more than 250 operators. In 2014, boku acquired Mopay. In November 2017, Boku went public on London Stock Exchange’s Alternative Investment Market (AIM).",http://www.boku.com/,https://www.hvcapital.com/companies
finway.de,finway,b2venture,ICP 2,10,3,high,auth,SaaS|FinTech,2021,,Germany,"With finway, enterprises can seamlessly plan & control all expenses and budgets in one tool and get real insights to run their business.","With finway, enterprises can seamlessly plan & control all expenses and budgets in one tool and get real insights to run their business.",https://finway.de/,https://www.b2venture.vc/portfolio
funanga.com,Funanga,hv_capital,ICP 1,10,3,high,docs,fintech,exit,,"Berlin, Germany","With cash to code, Funanga offers a mobile payment system, allowing individuals to pay for internet services fast, easy and anonymous. For this purpose, Funanga builds a network of points of sale, where customers can buy virtual prepaid cards via a smartphone app. The characteristic feature of cash to code is that customers can pay cash down.","With cash to code, Funanga offers a mobile payment system, allowing individuals to pay for internet services fast, easy and anonymous. For this purpose, Funanga builds a network of points of sale, where customers can buy virtual prepaid cards via a smartphone app. The characteristic feature of cash to code is that customers can pay cash down.",http://www.funanga.com/,https://www.hvcapital.com/companies
kubermatic.com,Kubermatic,b2venture,ICP 2,10,3,high,docs,SaaS|DevOps,2022,,Germany,"Automate operations of thousands of Kubernetes clusters across multi-cloud, on-premise, and edge environments with unparalleled density and resilience.","Automate operations of thousands of Kubernetes clusters across multi-cloud, on-premise, and edge environments with unparalleled density and resilience.",https://www.kubermatic.com/,https://www.b2venture.vc/portfolio
midas.app,Midas,hv_capital,ICP 1,10,3,high,docs,fintech,early,,"Berlin, Germany","Insitutional-grade Assets built for the Open Web. Midas offers investors exposure to investment-grade securities on-chain, while harnessing the full suite of DeFi applications via a permissionless ERC-20 token.","Insitutional-grade Assets built for the Open Web. Midas offers investors exposure to investment-grade securities on-chain, while harnessing the full suite of DeFi applications via a permissionless ERC-20 token.",https://midas.app/,https://www.hvcapital.com/companies
tatch.ai,Harper,antler,ICP 2,10,3,high,auth,FinTech,2024,,US,AI-native commercial insurance brokerage with automated end-to-end workflow.,AI-native commercial insurance brokerage with automated end-to-end workflow.,https://www.tatch.ai/,https://www.antler.co/portfolio
ververica.com,Data Artisans,b2venture,ICP 2,10,3,high,docs,SaaS|Trade Sale,2014,,Germany,"Data Artisans develops on the open source framework Apache Flink. The company was founded in 2014 by the Apache Flink community and created applications that enable fast, reliable and meaningful analysis of huge amounts of data. In January 2019, Data Artisans was acquired by the Chinese Internet group Alibaba and renamed Ververica.","Data Artisans develops on the open source framework Apache Flink. The company was founded in 2014 by the Apache Flink community and created applications that enable fast, reliable and meaningful analysis of huge amounts of data. In January 2019, Data Artisans was acquired by the Chinese Internet group Alibaba and renamed Ververica.",https://www.ververica.com/,https://www.b2venture.vc/portfolio
contentful.com,Contentful,point_nine,ICP 2,9,15,high,api|docs|developers|auth|app|status,Enterprise|Dev Tools & Infra,Seed,,"Berlin, Germany","Founded in Berlin in 2013, Contentful pioneered the API-first, headless CMS. Today, Contentful is the leading composable content platform that lets teams create, manage, and deliver digital content across websites, apps, and any channel via APIs.","Founded in Berlin in 2013, Contentful pioneered the API-first, headless CMS. Today, Contentful is the leading composable content platform that lets teams create, manage, and deliver digital content across websites, apps, and any channel via APIs.",http://www.contentful.com/,https://www.pointnine.com/companies
qonto.com,Qonto,hv_capital,ICP 1,9,15,high,api|docs|developers|auth|app|status,fintech,growth,,"Paris, France",Qonto is an online bank that provides financial tools for small and medium-sized businesses and freelancers.,Qonto is an online bank that provides financial tools for small and medium-sized businesses and freelancers.,https://qonto.com/en,https://www.hvcapital.com/companies
vestigas.com,Vestigas,b2venture,ICP 2,9,12,high,api|docs|auth|app|status,PropTech & Construction,2025,,Germany,"VESTIGAS digitizes construction supply chains with its Supply Chain OS, replacing paper-based workflows and enabling transparency, automation, and compliance at scale.","VESTIGAS digitizes construction supply chains with its Supply Chain OS, replacing paper-based workflows and enabling transparency, automation, and compliance at scale.",https://vestigas.com/,https://www.b2venture.vc/portfolio
dragandbot.com,drag&bot,speedinvest,ICP 2,9,11,high,api|docs|auth|app,Climate Tech & Industrial Tech,2018,,Germany,Supporting production companies to cost-effectively automate with industrial robots.,"drag&bot (acquired by KEBA in 2022) is an intuitive, web-based software platform for easy setup, programming and operation of industrial robots. With its graphical interface no prior robotics skills are needed to step your company into the era of automation. Their solution can be deployed across all relevant, industrial robotic systems and offers a high degree of flexibility, making industrial robots economical even for small production batches.",https://www.dragandbot.com/,https://www.speedinvest.com/portfolio/
remerge.io,Remerge,point_nine,ICP 2,9,11,high,api|docs|auth|dashboard,Enterprise,Seed,,"Berlin, Germany","Remerge is a leading demand-side platform (DSP) for high-performing app marketing campaigns. Founded in Berlin in 2014, the company operates globally with a strong privacy-first approach.","Remerge is a leading demand-side platform (DSP) for high-performing app marketing campaigns. Founded in Berlin in 2014, the company operates globally with a strong privacy-first approach.",https://www.remerge.io/,https://www.pointnine.com/companies
