domain,name,source,icp_tier,icp_score,signal_score,signal_trust,tags,batch,team_size,location,one_liner,has_api,has_mcp,outreach_priority,outreach_reason,company_url
hexafarms.com,hexafarms,speedinvest,ICP 1,7,4,high,Climate Tech & Industrial Tech,2024,,Germany,AI-powered SaaS solution enabling commercial food producers to track and predict their production capacity in real time.,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.hexafarms.com/
holvi.com,Holvi,speedinvest,ICP 2,8,9,high,Fintech & DeFi,2014,,Finland,"Digital banking for entrepreneurs, sole traders, and business owners.",1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.holvi.com/
hopin.com,Hopin,seedcamp,ICP 1,5,8,high,"",,,,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,http://hopin.com
hubblehq.com,Hubble,seedcamp,ICP 1,5,3,high,"",,,,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,http://hubblehq.com
humanity.health,Humanity,seedcamp,ICP 1,5,3,high,"",,,,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,http://humanity.health
hyperspell.com,Hyperspell,yc_developer_tools,ICP 1,13,9,high,machine-learning|b2b|infrastructure|developer-tools|artificial-intelligence,f2025,3,"San Francisco, CA, USA",Memory for AI Agents,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.ycombinator.com/companies/hyperspell
ico-lux.de,ICO-LUX,htgf,ICP 1,7,6,high,"",,,Germany,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.ico-lux.de/
implisense.com,Implisense,htgf,ICP 1,7,6,high,"",,,Germany,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.implisense.com/
industrial-technology-and-witchcraft.com,Industrial Technology and Witchcraft,htgf,ICP 1,7,3,high,"",,,Germany,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.industrial-technology-and-witchcraft.com/
invesdor.com,Invesdor,speedinvest,ICP 2,8,3,high,Fintech & DeFi,2014,,Finland,Digital investment and financing platform for companies of all sizes.,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.invesdor.com/en-gb/
investly.co,Investly,speedinvest,ICP 2,8,5,high,Fintech & DeFi,2015,,Estonia,SME access to working capital through invoice financing.,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.investly.co/
itchpet.com,Itch,seedcamp,ICP 1,5,3,high,"",,,,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,http://itchpet.com
itembase.com,Itembase,htgf,ICP 1,7,5,high,"",,,Germany,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.itembase.com/
joinstepladder.com,StepLadder,seedcamp,ICP 1,5,3,high,"",,,,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,http://joinstepladder.com
julaya.co,Julaya,speedinvest,ICP 2,7,6,high,Marketplaces & Consumer,2022,,Ivory Coast,Enabling companies to perform all their financial transactions in one single interface.,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://julaya.co
juli.co,Juli,speedinvest,ICP 2,8,4,high,Health & Bio,2022,,Switzerland,Improving life for people with chronic conditions.,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.juli.co/team
kareinn.com,KareInn,seedcamp,ICP 1,5,5,high,"",,,,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,http://kareinn.com
kasko.io,Kasko,seedcamp,ICP 1,5,11,high,"",,,,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,http://kasko.io
